MAT100,MAT221,CLASS
B,B,BAIK
BC,BC,BAIK
B,AB,BAIK
AB,B,BAIK
B,B,BAIK
A,A,BAIK
A,BC,BAIK
B,BC,BAIK
BC,C,BAIK
B,C,BAIK
AB,B,BAIK
D,C,BAIK
A,AB,BAIK
B,AB,BAIK
B,C,BAIK
AB,A,BAIK
C,C,BAIK
D,D,BAIK
C,D,BAIK
C,BC,BAIK
B,C,BAIK
A,AB,BAIK
A,A,BAIK
A,BC,BAIK
A,AB,BAIK
A,A,BAIK
AB,C,BAIK
C,C,BAIK
A,B,BAIK
A,B,BAIK
B,A,BAIK
BC,C,BAIK
A,B,BAIK
AB,BC,BAIK
B,B,BAIK
BC,D,BAIK
B,B,BAIK
AB,C,BAIK
A,A,BAIK
AB,A,BAIK
A,BC,BAIK
A,A,BAIK
B,AB,BAIK
A,AB,BAIK
E,D,BAIK
A,AB,BAIK
A,B,BAIK
BC,B,BAIK
AB,B,BAIK
A,BC,BAIK
B,D,BAIK
B,C,BAIK
B,BC,BAIK
C,D,BAIK
B,BC,BAIK
A,B,BAIK
B,A,BAIK
BC,B,BAIK
B,B,BAIK
AB,BC,BAIK
A,B,BAIK
AB,D,BAIK
B,B,BAIK
A,AB,BAIK
BC,C,BAIK
BC,C,BAIK
A,B,BAIK
AB,BC,BAIK
C,D,BAIK
C,D,BAIK
A,B,BAIK
B,BC,BAIK
A,AB,BAIK
AB,C,BAIK
D,D,CUKUP
C,D,CUKUP
C,C,CUKUP
D,D,CUKUP
C,D,CUKUP
B,D,CUKUP
B,BC,CUKUP
C,D,CUKUP
D,D,CUKUP
D,D,CUKUP
C,D,CUKUP
BC,BC,CUKUP
C,C,CUKUP
A,A,CUKUP
C,C,CUKUP
BC,C,CUKUP
BC,D,CUKUP
B,C,CUKUP
BC,E,CUKUP
C,D,CUKUP
BC,D,CUKUP
C,C,CUKUP
D,D,CUKUP
C,C,CUKUP
C,D,CUKUP
C,D,CUKUP
BC,C,CUKUP
D,D,CUKUP
C,D,CUKUP
A,A,CUKUP
D,D,CUKUP
A,A,CUKUP
D,D,CUKUP
C,D,CUKUP
B,C,CUKUP
BC,D,CUKUP
C,D,CUKUP
C,D,CUKUP
C,C,CUKUP
D,D,CUKUP
C,C,CUKUP
C,C,CUKUP
B,BC,CUKUP
BC,D,CUKUP
C,D,CUKUP
C,D,CUKUP
D,D,CUKUP
BC,E,CUKUP
B,C,CUKUP
C,C,CUKUP
D,D,CUKUP
A,A,CUKUP
BC,C,CUKUP
BC,D,CUKUP
C,D,CUKUP
BC,D,CUKUP
BC,C,CUKUP
B,C,CUKUP
D,D,CUKUP
D,D,CUKUP
D,D,CUKUP
D,D,CUKUP
C,D,CUKUP
C,D,CUKUP
D,D,CUKUP
A,A,CUKUP
C,C,CUKUP
C,C,CUKUP
B,BC,CUKUP
C,C,CUKUP
B,C,CUKUP
A,A,CUKUP
D,D,CUKUP
C,D,CUKUP
