MAT221,KOM321,CLASS
B,C,BAIK
B,BC,BAIK
A,A,BAIK
C,C,BAIK
B,BC,BAIK
C,C,BAIK
AB,AB,BAIK
A,B,BAIK
C,BC,BAIK
AB,BC,BAIK
A,A,BAIK
AB,BC,BAIK
D,BC,BAIK
C,B,BAIK
B,BC,BAIK
B,C,BAIK
A,AB,BAIK
B,B,BAIK
BC,B,BAIK
B,C,BAIK
C,BC,BAIK
A,B,BAIK
A,A,BAIK
BC,D,BAIK
A,AB,BAIK
AB,A,BAIK
AB,AB,BAIK
AB,AB,BAIK
BC,B,BAIK
D,BC,BAIK
BC,B,BAIK
BC,BC,BAIK
B,BC,BAIK
A,BC,BAIK
B,B,BAIK
B,C,BAIK
B,BC,BAIK
A,B,BAIK
AB,B,BAIK
C,B,BAIK
BC,B,BAIK
C,D,BAIK
C,AB,BAIK
AB,AB,BAIK
C,C,BAIK
A,A,BAIK
C,AB,BAIK
A,AB,BAIK
BC,B,BAIK
B,BC,BAIK
BC,C,CUKUP
AB,B,CUKUP
B,B,CUKUP
BC,B,CUKUP
BC,C,CUKUP
D,D,CUKUP
D,C,CUKUP
C,C,CUKUP
C,BC,CUKUP
AB,C,CUKUP
C,B,CUKUP
D,C,CUKUP
D,C,CUKUP
BC,B,CUKUP
C,BC,CUKUP
BC,C,CUKUP
A,AB,CUKUP
BC,C,CUKUP
C,C,CUKUP
BC,C,CUKUP
C,BC,CUKUP
D,B,CUKUP
B,BC,CUKUP
D,D,CUKUP
B,BC,CUKUP
B,C,CUKUP
B,BC,CUKUP
C,B,CUKUP
BC,D,CUKUP
AB,D,CUKUP
D,D,CUKUP
C,BC,CUKUP
AB,C,CUKUP
BC,BC,CUKUP
D,BC,CUKUP
C,C,CUKUP
B,BC,CUKUP
C,C,CUKUP
C,B,CUKUP
B,BC,CUKUP
D,C,CUKUP
D,C,CUKUP
D,C,CUKUP
B,BC,CUKUP
BC,D,CUKUP
AB,AB,CUKUP
BC,C,CUKUP
BC,D,CUKUP
B,C,CUKUP
BC,E,CUKUP
