AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,C,A,A,A,A,A,BC,BC,C,A,AB,C,AB,BC,HighRisk
B,BC,B,B,B,A,AB,B,BC,B,A,AB,D,A,C,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,BC,BC,BC,AB,B,A,BC,C,C,AB,C,C,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,C,C,D,B,A,D,E,D,D,A,C,D,C,E,HighRisk
A,AB,AB,AB,AB,A,B,AB,B,A,A,AB,C,D,C,HighRisk
A,C,B,A,AB,E,B,BC,C,C,AB,AB,C,B,BC,HighRisk
A,C,B,C,B,A,BC,D,C,C,AB,BC,D,BC,D,HighRisk
A,C,B,B,B,B,B,B,C,AB,AB,B,C,B,C,HighRisk
A,C,AB,B,AB,A,AB,BC,D,AB,B,B,C,AB,C,HighRisk
A,C,C,BC,B,B,AB,B,BC,B,A,B,D,BC,BC,HighRisk
A,C,AB,AB,B,A,A,BC,A,B,AB,B,BC,B,D,HighRisk
A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,HighRisk
A,B,A,B,AB,A,B,B,B,C,AB,A,BC,BC,B,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,B,AB,AB,A,B,AB,C,C,AB,A,C,B,BC,HighRisk
A,C,AB,C,AB,A,AB,BC,C,C,A,B,D,B,D,HighRisk
A,C,A,AB,B,A,AB,BC,B,B,AB,AB,C,AB,BC,HighRisk
A,D,C,D,B,B,C,D,D,C,AB,B,E,B,D,HighRisk
AB,C,A,B,B,A,B,C,BC,B,AB,C,C,AB,C,HighRisk
A,C,A,B,AB,A,A,B,A,A,A,A,BC,B,C,HighRisk
B,C,BC,B,C,A,BC,D,D,C,B,C,D,BC,D,HighRisk
A,C,AB,B,AB,A,AB,C,C,C,A,B,D,AB,C,HighRisk
A,C,A,BC,B,A,AB,B,C,B,AB,BC,C,B,C,HighRisk
A,C,BC,AB,BC,B,BC,C,BC,C,B,BC,D,AB,D,HighRisk
A,AB,AB,A,A,A,AB,BC,AB,C,AB,B,BC,AB,B,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,AB,A,B,AB,A,A,B,A,A,A,A,BC,A,BC,HighRisk
A,C,AB,AB,AB,A,AB,AB,B,B,A,A,C,AB,BC,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,C,A,AB,C,B,B,B,AB,BC,A,B,BC,AB,BC,HighRisk
A,C,AB,B,AB,A,B,BC,BC,B,A,AB,C,BC,C,HighRisk
A,BC,A,A,B,A,AB,BC,BC,C,AB,BC,C,AB,D,HighRisk
A,BC,BC,A,BC,A,B,BC,E,A,AB,B,D,BC,D,HighRisk
A,C,AB,BC,B,A,AB,C,C,A,AB,AB,BC,BC,BC,HighRisk
A,B,AB,B,AB,A,AB,A,C,A,B,A,B,BC,B,HighRisk
A,D,BC,B,B,A,B,BC,D,BC,BC,B,C,BC,D,HighRisk
A,C,B,B,B,A,B,AB,D,C,B,AB,D,B,C,HighRisk
A,C,BC,A,A,A,B,C,D,D,AB,AB,D,A,D,HighRisk
A,C,C,A,AB,A,AB,B,C,AB,A,A,BC,B,BC,HighRisk
A,C,A,AB,B,A,B,A,C,AB,AB,A,BC,A,D,HighRisk
A,C,AB,A,AB,A,A,C,D,C,B,B,BC,AB,BC,HighRisk
A,D,BC,A,B,A,AB,B,D,BC,AB,AB,C,B,BC,HighRisk
A,C,AB,A,AB,B,AB,C,BC,C,AB,AB,BC,AB,C,HighRisk
A,C,BC,C,BC,A,BC,D,D,D,B,C,D,BC,D,HighRisk
