KOM203,KOM206,KOM311,CLASS
B,A,B,BAIK
A,A,A,BAIK
A,AB,C,BAIK
A,B,D,BAIK
A,A,A,BAIK
AB,BC,A,BAIK
AB,A,C,BAIK
B,AB,B,BAIK
AB,AB,BC,BAIK
A,AB,B,BAIK
A,B,A,BAIK
AB,A,B,BAIK
B,AB,B,BAIK
B,BC,BC,BAIK
A,AB,B,BAIK
B,B,B,BAIK
AB,AB,B,BAIK
AB,AB,B,BAIK
B,B,B,BAIK
A,AB,AB,BAIK
A,A,B,BAIK
A,AB,B,BAIK
A,A,B,BAIK
AB,AB,B,BAIK
AB,B,B,BAIK
A,B,B,BAIK
BC,C,BC,BAIK
B,B,A,BAIK
A,AB,B,BAIK
AB,AB,B,BAIK
AB,BC,B,BAIK
AB,B,B,BAIK
AB,AB,BC,BAIK
A,A,BC,BAIK
B,BC,B,CUKUP
B,B,A,CUKUP
BC,BC,C,CUKUP
C,D,B,CUKUP
B,C,BC,CUKUP
A,A,A,CUKUP
A,AB,B,CUKUP
A,AB,A,CUKUP
A,AB,AB,CUKUP
A,C,B,CUKUP
B,B,B,CUKUP
B,B,BC,CUKUP
C,C,C,CUKUP
A,B,C,CUKUP
AB,BC,B,CUKUP
A,AB,B,CUKUP
AB,AB,B,CUKUP
C,E,C,CUKUP
C,BC,C,CUKUP
B,D,C,CUKUP
B,BC,B,CUKUP
AB,D,B,CUKUP
BC,C,B,CUKUP
B,BC,B,CUKUP
B,BC,BC,CUKUP
A,BC,B,CUKUP
B,B,B,CUKUP
AB,B,C,CUKUP
BC,C,BC,CUKUP
AB,A,A,CUKUP
AB,AB,B,CUKUP
B,B,AB,CUKUP
A,AB,AB,CUKUP
C,C,C,CUKUP
AB,B,A,CUKUP
A,AB,A,CUKUP
B,BC,AB,CUKUP
B,BC,B,CUKUP
B,AB,B,CUKUP
