KOM202,KOM207,KOM321,CLASS
B,A,C,CUKUP
B,A,AB,BAIK
BC,C,D,CUKUP
C,B,C,CUKUP
B,B,BC,CUKUP
A,A,A,BAIK
B,B,C,CUKUP
A,A,B,CUKUP
A,A,B,CUKUP
A,A,BC,CUKUP
A,AB,A,CUKUP
A,A,BC,BAIK
A,A,BC,CUKUP
A,A,B,BAIK
B,AB,BC,CUKUP
B,AB,AB,BAIK
C,C,D,CUKUP
A,A,A,CUKUP
AB,AB,BC,CUKUP
A,A,AB,CUKUP
AB,A,BC,CUKUP
A,A,B,BAIK
AB,A,BC,BAIK
C,AB,C,CUKUP
C,C,BC,CUKUP
AB,A,A,BAIK
B,B,C,CUKUP
B,A,AB,BAIK
B,B,BC,CUKUP
AB,B,BC,CUKUP
BC,BC,C,CUKUP
B,B,D,CUKUP
AB,AB,BC,CUKUP
B,AB,C,CUKUP
B,A,C,BAIK
A,AB,BC,BAIK
AB,A,C,CUKUP
BC,AB,C,CUKUP
A,A,C,BAIK
AB,A,B,CUKUP
AB,A,A,CUKUP
AB,A,AB,BAIK
AB,BC,BC,CUKUP
B,B,BC,BAIK
A,A,B,BAIK
A,A,A,BAIK
B,AB,D,BAIK
A,A,AB,BAIK
A,A,A,BAIK
A,A,AB,BAIK
C,BC,D,CUKUP
A,A,AB,BAIK
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,A,BC,CUKUP
B,AB,B,BAIK
BC,A,BC,BAIK
C,B,B,CUKUP
C,BC,D,CUKUP
A,AB,B,BAIK
BC,BC,D,CUKUP
B,AB,BC,BAIK
BC,BC,BC,CUKUP
B,A,BC,BAIK
B,B,BC,BAIK
A,A,B,BAIK
AB,A,C,BAIK
A,AB,BC,CUKUP
AB,B,BC,BAIK
A,A,B,BAIK
A,AB,BC,CUKUP
BC,AB,C,CUKUP
AB,A,BC,CUKUP
A,A,B,BAIK
AB,A,B,BAIK
C,AB,C,CUKUP
A,BC,B,CUKUP
A,BC,BC,CUKUP
D,B,C,CUKUP
A,A,B,BAIK
BC,BC,C,CUKUP
B,B,D,BAIK
BC,BC,C,CUKUP
A,A,BC,CUKUP
A,A,D,CUKUP
AB,A,AB,CUKUP
BC,A,AB,BAIK
