MAT100,MAT221,KOM321,CLASS
BC,BC,C,CUKUP
BC,BC,AB,BAIK
B,BC,D,CUKUP
C,D,C,CUKUP
AB,BC,BC,CUKUP
A,B,A,BAIK
BC,BC,C,CUKUP
A,B,B,CUKUP
B,BC,B,CUKUP
AB,B,BC,CUKUP
AB,BC,A,CUKUP
AB,BC,BC,BAIK
AB,BC,BC,CUKUP
A,AB,B,BAIK
AB,BC,BC,CUKUP
A,BC,D,BAIK
C,D,D,CUKUP
B,B,A,CUKUP
BC,BC,BC,CUKUP
A,C,BC,CUKUP
A,A,B,BAIK
AB,BC,BC,BAIK
BC,D,C,CUKUP
D,D,BC,CUKUP
AB,B,A,BAIK
B,C,C,CUKUP
A,B,AB,BAIK
BC,BC,BC,CUKUP
B,BC,BC,CUKUP
BC,BC,C,CUKUP
B,BC,D,CUKUP
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,C,C,CUKUP
A,B,C,BAIK
A,A,BC,BAIK
A,A,C,CUKUP
BC,C,C,CUKUP
B,BC,C,BAIK
A,AB,B,CUKUP
A,A,A,CUKUP
AB,B,AB,BAIK
BC,BC,C,CUKUP
A,B,AB,BAIK
D,C,C,CUKUP
A,BC,C,BAIK
B,BC,C,BAIK
B,C,C,BAIK
A,B,B,CUKUP
C,BC,C,CUKUP
BC,BC,BC,BAIK
A,BC,C,CUKUP
BC,BC,BC,CUKUP
A,C,AB,BAIK
AB,B,C,BAIK
A,B,B,BAIK
B,C,BC,CUKUP
A,AB,B,BAIK
A,A,B,BAIK
D,D,E,CUKUP
C,C,C,CUKUP
B,BC,BC,CUKUP
A,AB,C,CUKUP
A,B,AB,CUKUP
A,BC,C,CUKUP
AB,B,BC,CUKUP
BC,C,C,CUKUP
AB,BC,C,CUKUP
AB,B,D,CUKUP
A,BC,B,CUKUP
B,BC,D,CUKUP
B,BC,BC,BAIK
AB,B,C,CUKUP
A,A,A,BAIK
AB,B,BC,BAIK
A,BC,C,BAIK
B,A,BC,CUKUP
B,AB,B,BAIK
D,D,C,CUKUP
BC,C,C,BAIK
A,B,C,BAIK
B,D,BC,CUKUP
AB,B,BC,BAIK
A,B,AB,CUKUP
BC,BC,C,CUKUP
B,C,D,CUKUP
A,BC,C,BAIK
B,B,B,CUKUP
BC,BC,C,CUKUP
BC,D,BC,CUKUP
B,B,BC,CUKUP
A,A,A,BAIK
C,BC,C,BAIK
A,AB,AB,BAIK
A,BC,BC,BAIK
A,AB,C,CUKUP
A,A,BC,BAIK
AB,B,C,CUKUP
A,B,BC,CUKUP
B,BC,C,CUKUP
C,B,C,CUKUP
AB,BC,BC,CUKUP
B,BC,BC,CUKUP
B,B,B,CUKUP
AB,BC,C,CUKUP
B,AB,BC,CUKUP
B,C,C,CUKUP
