MAT103,MAT217,CLASS
BC,C,CUKUP
D,BC,CUKUP
C,D,CUKUP
D,D,CUKUP
A,A,CUKUP
A,A,BAIK
D,BC,CUKUP
AB,B,CUKUP
C,B,BAIK
A,B,BAIK
B,C,BAIK
B,AB,BAIK
B,BC,CUKUP
A,A,BAIK
B,B,CUKUP
B,C,CUKUP
D,D,CUKUP
B,AB,CUKUP
BC,B,CUKUP
B,AB,BAIK
B,B,CUKUP
A,A,BAIK
C,C,CUKUP
BC,C,CUKUP
D,D,CUKUP
A,A,CUKUP
C,C,CUKUP
B,A,CUKUP
C,BC,CUKUP
BC,C,CUKUP
D,C,CUKUP
D,C,CUKUP
A,AB,CUKUP
B,BC,CUKUP
BC,BC,CUKUP
B,D,CUKUP
A,A,CUKUP
B,BC,CUKUP
D,D,CUKUP
B,A,CUKUP
A,AB,CUKUP
A,A,BAIK
A,A,CUKUP
BC,C,CUKUP
A,A,CUKUP
D,D,CUKUP
B,BC,CUKUP
AB,AB,CUKUP
B,C,CUKUP
A,B,CUKUP
C,C,CUKUP
BC,B,CUKUP
A,B,CUKUP
C,C,CUKUP
A,B,CUKUP
AB,B,CUKUP
A,AB,CUKUP
C,B,CUKUP
AB,B,CUKUP
A,A,BAIK
D,D,CUKUP
C,C,CUKUP
C,BC,CUKUP
A,B,CUKUP
A,AB,CUKUP
A,AB,CUKUP
B,BC,CUKUP
B,C,CUKUP
A,B,CUKUP
AB,C,CUKUP
A,B,CUKUP
BC,BC,CUKUP
A,B,CUKUP
BC,B,CUKUP
A,AB,BAIK
B,B,CUKUP
BC,B,CUKUP
B,B,CUKUP
B,B,CUKUP
D,D,CUKUP
BC,BC,CUKUP
A,C,CUKUP
BC,BC,CUKUP
AB,B,CUKUP
A,B,BAIK
C,C,CUKUP
C,BC,CUKUP
B,BC,CUKUP
B,BC,CUKUP
D,D,CUKUP
D,D,CUKUP
B,BC,CUKUP
A,AB,BAIK
C,BC,CUKUP
AB,B,BAIK
A,B,CUKUP
A,B,CUKUP
A,AB,CUKUP
AB,BC,CUKUP
AB,B,CUKUP
AB,AB,CUKUP
BC,C,CUKUP
A,A,BAIK
BC,BC,CUKUP
B,B,CUKUP
B,BC,CUKUP
BC,A,CUKUP
C,C,CUKUP
