KOM202,KOM331,CLASS
BC,BC,CUKUP
B,A,BAIK
B,BC,BAIK
C,BC,CUKUP
A,D,CUKUP
A,A,BAIK
B,C,CUKUP
A,B,BAIK
AB,BC,CUKUP
AB,BC,CUKUP
B,BC,CUKUP
AB,A,BAIK
AB,BC,CUKUP
A,BC,CUKUP
B,BC,BAIK
A,B,BAIK
C,D,CUKUP
BC,B,BAIK
BC,B,BAIK
BC,AB,BAIK
A,C,CUKUP
A,AB,BAIK
B,BC,CUKUP
BC,C,CUKUP
B,BC,CUKUP
B,B,BAIK
BC,C,CUKUP
A,BC,BAIK
BC,BC,CUKUP
BC,D,CUKUP
C,C,CUKUP
BC,BC,CUKUP
A,AB,CUKUP
C,BC,CUKUP
C,C,CUKUP
AB,A,BAIK
B,A,BAIK
A,BC,BAIK
C,BC,CUKUP
AB,AB,BAIK
A,AB,BAIK
AB,A,BAIK
A,BC,CUKUP
B,BC,BAIK
A,A,BAIK
BC,BC,BAIK
A,AB,BAIK
B,AB,BAIK
B,BC,BAIK
A,BC,CUKUP
B,AB,CUKUP
A,AB,BAIK
BC,B,BAIK
BC,BC,BAIK
A,AB,BAIK
A,A,BAIK
B,B,BAIK
C,AB,CUKUP
AB,B,BAIK
A,B,BAIK
B,C,CUKUP
BC,BC,CUKUP
B,D,CUKUP
BC,BC,CUKUP
A,BC,CUKUP
B,AB,CUKUP
B,C,CUKUP
B,D,BAIK
BC,BC,BAIK
B,C,CUKUP
A,C,BAIK
B,C,CUKUP
A,BC,CUKUP
BC,C,CUKUP
A,A,BAIK
A,A,BAIK
B,AB,CUKUP
A,C,CUKUP
B,A,BAIK
BC,D,CUKUP
B,C,CUKUP
A,BC,BAIK
BC,C,CUKUP
B,AB,BAIK
A,C,CUKUP
BC,BC,CUKUP
B,AB,BAIK
A,BC,BAIK
BC,BC,CUKUP
B,D,BAIK
A,D,CUKUP
BC,BC,BAIK
A,B,BAIK
A,BC,BAIK
B,AB,CUKUP
BC,AB,BAIK
B,BC,BAIK
A,C,CUKUP
A,BC,CUKUP
B,A,BAIK
A,B,CUKUP
B,D,CUKUP
BC,A,CUKUP
C,B,CUKUP
B,BC,BAIK
B,A,CUKUP
A,A,BAIK
AB,A,CUKUP
