KOM202,KOM331,CLASS
B,A,BAIK
B,BC,BAIK
A,A,BAIK
A,B,BAIK
AB,A,BAIK
B,BC,BAIK
A,B,BAIK
BC,B,BAIK
BC,B,BAIK
BC,AB,BAIK
A,AB,BAIK
B,B,BAIK
A,BC,BAIK
AB,A,BAIK
B,A,BAIK
A,BC,BAIK
AB,AB,BAIK
A,AB,BAIK
AB,A,BAIK
B,BC,BAIK
A,A,BAIK
BC,BC,BAIK
A,AB,BAIK
B,AB,BAIK
B,BC,BAIK
A,AB,BAIK
BC,B,BAIK
BC,BC,BAIK
A,AB,BAIK
A,A,BAIK
B,B,BAIK
AB,B,BAIK
A,B,BAIK
B,D,BAIK
BC,BC,BAIK
A,C,BAIK
A,A,BAIK
A,A,BAIK
B,A,BAIK
A,BC,BAIK
B,AB,BAIK
B,AB,BAIK
A,BC,BAIK
B,D,BAIK
BC,BC,BAIK
A,B,BAIK
A,BC,BAIK
BC,AB,BAIK
B,BC,BAIK
B,A,BAIK
B,BC,BAIK
A,A,BAIK
BC,BC,CUKUP
C,BC,CUKUP
A,D,CUKUP
B,C,CUKUP
AB,BC,CUKUP
AB,BC,CUKUP
B,BC,CUKUP
AB,BC,CUKUP
A,BC,CUKUP
C,D,CUKUP
A,C,CUKUP
B,BC,CUKUP
BC,C,CUKUP
B,BC,CUKUP
BC,C,CUKUP
BC,BC,CUKUP
BC,D,CUKUP
C,C,CUKUP
BC,BC,CUKUP
A,AB,CUKUP
C,BC,CUKUP
C,C,CUKUP
C,BC,CUKUP
A,BC,CUKUP
A,BC,CUKUP
B,AB,CUKUP
C,AB,CUKUP
B,C,CUKUP
BC,BC,CUKUP
B,D,CUKUP
BC,BC,CUKUP
A,BC,CUKUP
B,AB,CUKUP
B,C,CUKUP
B,C,CUKUP
B,C,CUKUP
A,BC,CUKUP
BC,C,CUKUP
B,AB,CUKUP
A,C,CUKUP
BC,D,CUKUP
B,C,CUKUP
BC,C,CUKUP
A,C,CUKUP
BC,BC,CUKUP
BC,BC,CUKUP
A,D,CUKUP
B,AB,CUKUP
A,C,CUKUP
A,BC,CUKUP
A,B,CUKUP
B,D,CUKUP
