KOM206,KOM311,CLASS
B,B,BAIK
AB,A,BAIK
BC,C,BAIK
B,C,BAIK
B,B,BAIK
BC,A,BAIK
A,B,BAIK
B,BC,BAIK
BC,B,BAIK
A,AB,BAIK
B,B,BAIK
BC,B,BAIK
B,B,BAIK
BC,A,BAIK
BC,B,BAIK
BC,B,BAIK
A,AB,BAIK
BC,A,BAIK
BC,C,BAIK
B,B,BAIK
BC,C,BAIK
BC,B,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
B,B,BAIK
B,B,BAIK
A,AB,BAIK
BC,A,BAIK
BC,B,BAIK
B,C,BAIK
BC,B,BAIK
BC,A,BAIK
B,C,BAIK
BC,B,BAIK
BC,C,BAIK
B,B,BAIK
A,B,BAIK
BC,B,BAIK
BC,B,BAIK
B,B,BAIK
BC,B,BAIK
B,B,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
B,B,BAIK
BC,B,BAIK
AB,A,BAIK
B,B,BAIK
B,BC,BAIK
B,B,BAIK
BC,A,BAIK
B,B,BAIK
A,B,BAIK
B,B,BAIK
A,B,BAIK
A,B,BAIK
A,AB,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
A,AB,BAIK
B,BC,BAIK
BC,A,BAIK
B,B,BAIK
B,B,BAIK
B,B,BAIK
BC,A,BAIK
B,B,BAIK
BC,B,BAIK
B,C,BAIK
BC,B,BAIK
B,B,BAIK
A,AB,BAIK
B,B,BAIK
BC,A,BAIK
BC,B,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
BC,C,BAIK
B,C,BAIK
B,B,BAIK
AB,A,BAIK
B,C,BAIK
A,B,BAIK
B,B,BAIK
AB,A,BAIK
BC,A,BAIK
B,B,BAIK
B,B,BAIK
BC,B,BAIK
B,B,CUKUP
AB,A,CUKUP
C,C,CUKUP
C,B,CUKUP
C,BC,CUKUP
B,A,CUKUP
B,B,CUKUP
AB,A,CUKUP
AB,AB,CUKUP
BC,B,CUKUP
B,D,CUKUP
BC,B,CUKUP
B,BC,CUKUP
C,C,CUKUP
B,C,CUKUP
C,B,CUKUP
B,B,CUKUP
C,B,CUKUP
A,A,CUKUP
C,A,CUKUP
D,C,CUKUP
B,C,CUKUP
C,C,CUKUP
B,B,CUKUP
C,B,CUKUP
D,B,CUKUP
BC,B,CUKUP
C,B,CUKUP
B,BC,CUKUP
BC,BC,CUKUP
C,B,CUKUP
B,B,CUKUP
BC,C,CUKUP
C,BC,CUKUP
AB,A,CUKUP
B,B,CUKUP
C,AB,CUKUP
B,AB,CUKUP
C,C,CUKUP
B,A,CUKUP
B,A,CUKUP
B,AB,CUKUP
B,B,CUKUP
BC,B,CUKUP
B,B,CUKUP
BC,B,CUKUP
B,AB,CUKUP
A,A,CUKUP
B,B,CUKUP
B,C,CUKUP
B,B,CUKUP
A,B,CUKUP
BC,B,CUKUP
C,B,CUKUP
B,B,CUKUP
AB,B,CUKUP
D,B,CUKUP
C,C,CUKUP
B,B,CUKUP
B,C,CUKUP
BC,B,CUKUP
B,B,CUKUP
B,AB,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
B,C,CUKUP
B,B,CUKUP
AB,B,CUKUP
B,B,CUKUP
C,C,CUKUP
B,B,CUKUP
B,BC,CUKUP
BC,BC,CUKUP
BC,A,CUKUP
C,BC,CUKUP
B,AB,CUKUP
B,A,CUKUP
C,AB,CUKUP
BC,B,CUKUP
BC,AB,CUKUP
B,A,CUKUP
B,AB,CUKUP
BC,B,CUKUP
B,B,CUKUP
C,B,CUKUP
C,B,CUKUP
B,B,CUKUP
BC,B,CUKUP
B,BC,CUKUP
C,C,CUKUP
B,B,CUKUP
BC,AB,CUKUP
BC,B,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
B,A,CUKUP
