AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
A,D,C,BC,BC,B,D,D,D,C,B,C,D,C,D,HighRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,C,B,BC,AB,A,BC,C,D,D,A,AB,D,BC,D,HighRisk
