MAT103,MAT217,CLASS
BC,B,BAIK
B,BC,BAIK
A,A,BAIK
B,A,BAIK
AB,A,BAIK
D,BC,BAIK
AB,A,BAIK
A,A,BAIK
AB,B,BAIK
A,A,BAIK
AB,AB,BAIK
AB,A,BAIK
BC,AB,BAIK
A,B,BAIK
BC,A,BAIK
A,AB,BAIK
B,AB,BAIK
BC,AB,BAIK
C,B,BAIK
BC,AB,BAIK
A,A,BAIK
A,A,BAIK
A,B,BAIK
A,A,BAIK
BC,B,BAIK
A,A,BAIK
B,AB,BAIK
BC,AB,BAIK
BC,A,BAIK
B,B,BAIK
B,A,BAIK
A,B,BAIK
AB,A,BAIK
AB,AB,BAIK
B,AB,BAIK
AB,AB,BAIK
B,A,BAIK
AB,AB,BAIK
B,B,BAIK
A,B,BAIK
AB,A,BAIK
AB,B,BAIK
B,B,BAIK
BC,AB,BAIK
A,AB,CUKUP
BC,C,CUKUP
C,B,CUKUP
B,AB,CUKUP
B,B,CUKUP
D,D,CUKUP
BC,B,CUKUP
BC,B,CUKUP
D,D,CUKUP
B,BC,CUKUP
BC,C,CUKUP
C,BC,CUKUP
D,D,CUKUP
D,C,CUKUP
A,AB,CUKUP
D,D,CUKUP
D,C,CUKUP
BC,BC,CUKUP
D,BC,CUKUP
D,D,CUKUP
C,BC,CUKUP
C,C,CUKUP
D,D,CUKUP
B,A,CUKUP
BC,B,CUKUP
BC,AB,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
D,C,CUKUP
BC,BC,CUKUP
C,BC,CUKUP
B,AB,CUKUP
B,B,CUKUP
B,C,CUKUP
D,D,CUKUP
BC,B,CUKUP
C,B,CUKUP
BC,C,CUKUP
D,C,CUKUP
D,D,CUKUP
C,BC,CUKUP
D,C,CUKUP
D,C,CUKUP
B,B,CUKUP
