"","KOM203","KOM206","KOM311","CLASS"
"31","BC","C","B","CUKUP"
"84","A","A","A","CUKUP"
"43","AB","AB","B","CUKUP"
"92","A","A","AB","CUKUP"
"97","AB","AB","B","BAIK"
"5","B","A","B","BAIK"
"54","AB","BC","B","CUKUP"
"90","AB","C","AB","CUKUP"
"55","A","B","AB","CUKUP"
"45","A","AB","AB","CUKUP"
"93","A","B","B","CUKUP"
"44","B","B","AB","CUKUP"
"65","A","BC","C","CUKUP"
"101","B","BC","C","CUKUP"
"10","A","AB","B","CUKUP"
"83","A","B","B","BAIK"
"23","AB","BC","A","BAIK"
"4","C","D","B","CUKUP"
"30","AB","D","B","CUKUP"
"106","A","A","BC","BAIK"
"78","AB","AB","B","BAIK"
"60","A","A","B","CUKUP"
"99","AB","B","B","BAIK"
"88","A","BC","AB","CUKUP"
"85","BC","C","BC","BAIK"
"59","A","B","B","CUKUP"
"98","AB","BC","B","BAIK"
"48","A","AB","A","CUKUP"
"91","BC","B","A","CUKUP"
"12","A","AB","AB","CUKUP"
"75","A","A","B","BAIK"
"69","B","B","B","BAIK"
"52","B","AB","B","CUKUP"
"82","B","BC","BC","CUKUP"
"2","B","B","A","CUKUP"
"35","A","BC","B","CUKUP"
"94","A","AB","B","BAIK"
"16","B","B","BC","CUKUP"
"22","A","A","A","BAIK"
"70","A","AB","AB","CUKUP"
"103","B","AB","AB","CUKUP"
"28","B","AB","B","BAIK"
"27","B","D","C","CUKUP"
"24","C","E","C","CUKUP"
"67","C","B","C","CUKUP"
"9","A","AB","C","BAIK"
"15","B","B","B","CUKUP"
"66","AB","AB","B","BAIK"
"68","B","B","B","CUKUP"
"50","B","AB","B","BAIK"
"3","BC","BC","C","CUKUP"
"25","C","BC","C","CUKUP"
"96","A","B","B","CUKUP"
"7","B","C","BC","CUKUP"
"36","B","B","B","CUKUP"
"19","AB","BC","B","CUKUP"
"34","B","BC","BC","CUKUP"
"33","AB","AB","BC","BAIK"
"107","AB","B","A","CUKUP"
"17","C","C","C","CUKUP"
"86","A","BC","AB","CUKUP"
"79","C","C","C","CUKUP"
"56","A","B","A","CUKUP"
"1","B","BC","B","CUKUP"
"74","A","AB","AB","BAIK"
"8","A","A","A","CUKUP"
"87","B","B","A","BAIK"
"42","AB","A","B","BAIK"
"77","A","A","B","BAIK"
"100","AB","AB","BC","CUKUP"
"51","B","BC","B","CUKUP"
"81","A","AB","BC","CUKUP"
"29","B","BC","B","CUKUP"
"53","B","BC","BC","BAIK"
"57","A","AB","B","BAIK"
"63","AB","AB","B","BAIK"
"21","AB","AB","B","CUKUP"
"26","AB","A","C","BAIK"
"58","B","BC","C","CUKUP"
"37","A","AB","B","BAIK"
"105","AB","AB","BC","BAIK"
"72","A","AB","BC","CUKUP"
"6","A","A","A","BAIK"
"76","A","AB","B","BAIK"
"46","C","C","C","CUKUP"
"64","A","AB","B","CUKUP"
"62","B","B","B","BAIK"
"41","AB","A","A","CUKUP"
"49","B","BC","AB","CUKUP"
"40","A","B","A","BAIK"
"47","AB","B","A","CUKUP"
"73","B","BC","C","CUKUP"
"39","BC","C","BC","CUKUP"
"20","A","AB","B","CUKUP"
"61","AB","BC","B","CUKUP"
"95","B","BC","B","CUKUP"
"14","A","B","D","BAIK"
