"","KOM202","KOM207","KOM321","CLASS"
"30","AB","B","BC","BAIK"
"80","AB","A","A","CUKUP"
"41","AB","A","AB","BAIK"
"88","BC","BC","D","CUKUP"
"93","AB","A","BC","CUKUP"
"5","B","AB","AB","BAIK"
"51","B","A","AB","BAIK"
"85","AB","A","BC","CUKUP"
"52","B","A","C","CUKUP"
"43","A","A","B","BAIK"
"89","BC","BC","BC","CUKUP"
"42","B","B","BC","BAIK"
"61","A","A","BC","CUKUP"
"96","A","BC","BC","CUKUP"
"10","B","A","C","BAIK"
"79","AB","A","B","CUKUP"
"22","B","AB","B","BAIK"
"4","A","A","B","BAIK"
"28","A","A","B","BAIK"
"101","A","A","D","CUKUP"
"73","BC","BC","C","CUKUP"
"57","A","A","B","CUKUP"
"94","C","AB","C","CUKUP"
"87","C","BC","D","CUKUP"
"83","A","AB","BC","CUKUP"
"55","B","B","BC","CUKUP"
"91","A","AB","BC","CUKUP"
"45","BC","A","AB","BAIK"
"86","C","B","B","CUKUP"
"11","A","AB","BC","BAIK"
"70","B","B","C","CUKUP"
"65","AB","AB","BC","CUKUP"
"49","AB","A","BC","BAIK"
"77","AB","A","C","CUKUP"
"2","A","A","A","BAIK"
"33","AB","A","B","BAIK"
"92","BC","AB","C","CUKUP"
"15","A","A","B","BAIK"
"21","A","A","AB","BAIK"
"71","B","B","BC","CUKUP"
"9","B","A","AB","BAIK"
"26","B","A","BC","BAIK"
"25","B","AB","BC","BAIK"
"74","B","B","D","CUKUP"
"62","B","AB","BC","CUKUP"
"8","AB","A","A","BAIK"
"14","B","B","BC","BAIK"
"90","A","AB","BC","CUKUP"
"63","C","C","D","CUKUP"
"46","A","A","B","BAIK"
"3","A","A","BC","BAIK"
"23","BC","A","BC","BAIK"
"40","AB","A","B","BAIK"
"6","A","A","B","BAIK"
"27","B","B","BC","BAIK"
"99","BC","BC","C","CUKUP"
"72","AB","B","BC","CUKUP"
"34","A","A","B","BAIK"
"50","A","A","B","BAIK"
"17","B","AB","D","BAIK"
"84","B","BC","C","CUKUP"
"95","A","BC","B","CUKUP"
"16","A","A","A","BAIK"
"82","C","BC","D","CUKUP"
"31","A","A","B","BAIK"
"98","BC","BC","C","CUKUP"
"102","AB","A","AB","CUKUP"
"29","AB","A","C","BAIK"
"76","B","AB","C","CUKUP"
"54","C","B","C","CUKUP"
"60","A","AB","A","CUKUP"
"20","A","A","AB","BAIK"
"59","A","A","BC","CUKUP"
"1","B","A","AB","BAIK"
"56","B","B","C","CUKUP"
"53","BC","C","D","CUKUP"
"47","AB","A","C","BAIK"
"44","B","AB","BC","BAIK"
"58","A","A","B","CUKUP"
"78","BC","AB","C","CUKUP"
"48","AB","A","A","BAIK"
"67","AB","A","BC","CUKUP"
"24","A","AB","B","BAIK"
"64","A","A","A","CUKUP"
"68","C","AB","C","CUKUP"
"81","AB","BC","BC","CUKUP"
"32","A","A","B","BAIK"
"75","AB","AB","BC","CUKUP"
"13","AB","A","AB","BAIK"
"66","A","A","AB","CUKUP"
"18","A","A","AB","BAIK"
