"","MAT100","MAT221","KOM321","CLASS"
"31","B","BC","D","CUKUP"
"84","A","B","AB","CUKUP"
"43","BC","BC","C","CUKUP"
"92","A","A","A","BAIK"
"97","A","A","BC","BAIK"
"5","AB","BC","BC","CUKUP"
"54","A","C","AB","BAIK"
"90","BC","D","BC","CUKUP"
"55","AB","B","C","BAIK"
"45","D","C","C","CUKUP"
"93","C","BC","C","BAIK"
"44","A","B","AB","BAIK"
"65","A","BC","C","CUKUP"
"101","C","B","C","CUKUP"
"10","AB","B","BC","CUKUP"
"83","AB","B","BC","BAIK"
"23","BC","D","C","CUKUP"
"4","C","D","C","CUKUP"
"30","BC","BC","C","CUKUP"
"106","B","AB","BC","CUKUP"
"78","B","AB","B","BAIK"
"60","D","D","E","CUKUP"
"99","A","B","BC","CUKUP"
"88","B","B","B","CUKUP"
"85","BC","BC","C","CUKUP"
"59","A","A","B","BAIK"
"98","AB","B","C","CUKUP"
"48","B","C","C","BAIK"
"91","B","B","BC","CUKUP"
"12","AB","BC","BC","BAIK"
"75","AB","B","BC","BAIK"
"69","AB","B","D","CUKUP"
"52","A","BC","C","CUKUP"
"82","B","D","BC","CUKUP"
"2","BC","BC","AB","BAIK"
"35","A","B","C","BAIK"
"94","A","AB","AB","BAIK"
"16","A","BC","D","BAIK"
"22","AB","BC","BC","BAIK"
"70","A","BC","B","CUKUP"
"103","B","BC","BC","CUKUP"
"28","BC","BC","BC","CUKUP"
"27","A","B","AB","BAIK"
"24","D","D","BC","CUKUP"
"67","BC","C","C","CUKUP"
"9","B","BC","B","CUKUP"
"15","AB","BC","BC","CUKUP"
"66","AB","B","BC","CUKUP"
"68","AB","BC","C","CUKUP"
"50","C","BC","C","CUKUP"
"3","B","BC","D","CUKUP"
"25","AB","B","A","BAIK"
"96","A","AB","C","CUKUP"
"7","BC","BC","C","CUKUP"
"89","BC","BC","C","CUKUP"
"11","AB","BC","A","CUKUP"
"71","B","BC","D","CUKUP"
"38","BC","C","C","CUKUP"
"104","B","B","B","CUKUP"
"18","B","B","A","CUKUP"
"32","A","AB","BC","CUKUP"
"102","AB","BC","BC","CUKUP"
"80","BC","C","C","BAIK"
"13","AB","BC","BC","CUKUP"
"8","A","B","B","CUKUP"
"87","A","BC","C","BAIK"
"42","AB","B","AB","BAIK"
"77","B","A","BC","CUKUP"
"100","B","BC","C","CUKUP"
"51","BC","BC","BC","BAIK"
"81","A","B","C","BAIK"
"29","B","BC","BC","CUKUP"
"53","BC","BC","BC","CUKUP"
"57","B","C","BC","CUKUP"
"63","A","AB","C","CUKUP"
"21","A","A","B","BAIK"
"26","B","C","C","CUKUP"
"58","A","AB","B","BAIK"
"37","A","A","C","CUKUP"
"105","AB","BC","C","CUKUP"
"72","B","BC","BC","BAIK"
"6","A","B","A","BAIK"
"76","A","BC","C","BAIK"
"46","A","BC","C","BAIK"
"64","A","B","AB","CUKUP"
"62","B","BC","BC","CUKUP"
"41","A","A","A","CUKUP"
"49","A","B","B","CUKUP"
"40","A","AB","B","CUKUP"
"47","B","BC","C","BAIK"
"73","AB","B","C","CUKUP"
"39","B","BC","C","BAIK"
"20","A","C","BC","CUKUP"
"61","C","C","C","CUKUP"
"95","A","BC","BC","BAIK"
"14","A","AB","B","BAIK"
