"","MAT100","MAT221","KOM321","CLASS"
"41","A","A","BC","BAIK"
"110","A","AB","C","CUKUP"
"57","B","BC","C","BAIK"
"121","D","D","C","CUKUP"
"128","BC","D","BC","CUKUP"
"7","AB","BC","BC","BAIK"
"71","BC","BC","C","CUKUP"
"119","AB","B","C","CUKUP"
"73","C","D","C","CUKUP"
"60","B","C","C","BAIK"
"125","B","C","D","CUKUP"
"59","BC","C","C","BAIK"
"87","D","D","BC","CUKUP"
"132","A","B","BC","CUKUP"
"13","AB","B","AB","BAIK"
"113","AB","B","BC","CUKUP"
"31","AB","B","BC","BAIK"
"6","A","A","B","BAIK"
"140","B","C","C","CUKUP"
"116","AB","B","D","CUKUP"
"107","D","D","E","CUKUP"
"83","B","B","A","CUKUP"
"76","A","B","B","CUKUP"
"117","A","BC","B","CUKUP"
"77","B","BC","B","CUKUP"
"82","C","D","D","CUKUP"
"63","A","B","A","BAIK"
"68","B","BC","BC","BAIK"
"33","A","A","A","BAIK"
"17","B","C","C","BAIK"
"106","B","C","BC","CUKUP"
"99","A","A","A","CUKUP"
"75","BC","BC","C","CUKUP"
"86","BC","D","C","CUKUP"
"3","AB","BC","BC","BAIK"
"51","AB","B","AB","BAIK"
"79","AB","BC","A","CUKUP"
"23","A","A","B","BAIK"
"112","A","BC","C","CUKUP"
"24","B","BC","BC","BAIK"
"15","A","BC","C","BAIK"
"42","BC","C","C","BAIK"
"136","B","BC","BC","CUKUP"
"114","BC","C","C","CUKUP"
"74","AB","BC","BC","CUKUP"
"124","BC","BC","C","CUKUP"
"54","A","B","A","BAIK"
"8","AB","B","A","BAIK"
"30","A","B","C","BAIK"
"94","B","BC","C","CUKUP"
"62","A","A","A","BAIK"
"34","C","BC","C","BAIK"
"131","AB","B","C","CUKUP"
"115","AB","BC","C","CUKUP"
"58","A","BC","D","BAIK"
"32","A","BC","C","BAIK"
"53","AB","B","A","BAIK"
"93","A","AB","BC","CUKUP"
"120","B","A","BC","CUKUP"
"1","BC","BC","AB","BAIK"
"88","B","C","C","CUKUP"
"96","A","A","C","CUKUP"
"92","B","BC","D","CUKUP"
"39","A","B","B","BAIK"
"137","B","B","B","CUKUP"
"135","AB","BC","BC","CUKUP"
"65","A","A","BC","BAIK"
"89","BC","BC","BC","CUKUP"
"64","BC","BC","BC","BAIK"
"45","A","BC","C","BAIK"
"123","A","B","AB","CUKUP"
"101","D","C","C","CUKUP"
"80","AB","BC","BC","CUKUP"
"48","AB","B","BC","BAIK"
"47","AB","BC","BC","BAIK"
"9","A","B","AB","BAIK"
"61","A","A","BC","BAIK"
"102","A","B","B","CUKUP"
"111","A","B","AB","CUKUP"
"81","AB","BC","BC","CUKUP"
"127","BC","BC","C","CUKUP"
"105","BC","BC","BC","CUKUP"
"35","A","AB","AB","BAIK"
"90","B","BC","BC","CUKUP"
"20","AB","B","C","BAIK"
"21","A","B","B","BAIK"
"55","B","BC","C","BAIK"
"126","B","B","B","CUKUP"
"19","A","C","AB","BAIK"
"97","BC","C","C","CUKUP"
"85","A","C","BC","CUKUP"
"66","BC","BC","BC","BAIK"
"69","B","BC","BC","BAIK"
"98","A","AB","B","CUKUP"
"95","AB","C","C","CUKUP"
"43","A","B","AB","BAIK"
"29","BC","C","C","BAIK"
"138","AB","BC","C","CUKUP"
"2","A","B","A","BAIK"
"26","AB","B","BC","BAIK"
"38","AB","BC","BC","BAIK"
"4","A","AB","B","BAIK"
"108","C","C","C","CUKUP"
"118","B","BC","D","CUKUP"
"133","B","BC","C","CUKUP"
"78","AB","B","BC","CUKUP"
"103","C","BC","C","CUKUP"
"50","BC","C","C","BAIK"
"56","A","B","AB","BAIK"
"72","B","BC","D","CUKUP"
"37","A","A","B","BAIK"
"46","B","BC","BC","BAIK"
"139","B","AB","BC","CUKUP"
"28","B","AB","B","BAIK"
"109","B","BC","BC","CUKUP"
"91","BC","BC","C","CUKUP"
"27","A","BC","C","BAIK"
"130","A","AB","C","CUKUP"
"16","B","BC","C","BAIK"
"84","BC","BC","BC","CUKUP"
"70","A","A","BC","BAIK"
"10","A","B","C","BAIK"
"52","A","B","AB","BAIK"
"129","B","B","BC","CUKUP"
"12","B","BC","C","BAIK"
"67","A","AB","B","BAIK"
