"","MAT100","MAT221","KOM321","CLASS"
"37","A","A","BC","BAIK"
"72","BC","BC","BC","CUKUP"
"62","AB","C","C","CUKUP"
"29","BC","C","C","BAIK"
"43","A","B","B","CUKUP"
"35","A","AB","AB","BAIK"
"7","AB","BC","BC","BAIK"
"54","D","D","BC","CUKUP"
"15","A","BC","C","BAIK"
"3","AB","BC","BC","BAIK"
"19","A","C","AB","BAIK"
"53","BC","D","C","CUKUP"
"49","C","D","D","CUKUP"
"70","C","BC","C","CUKUP"
"34","C","BC","C","BAIK"
"51","BC","BC","BC","CUKUP"
"33","A","A","A","BAIK"
"61","B","BC","C","CUKUP"
"27","A","BC","C","BAIK"
"28","B","AB","B","BAIK"
"14","A","B","AB","BAIK"
"67","BC","BC","C","CUKUP"
"64","BC","C","C","CUKUP"
"39","B","BC","D","CUKUP"
"65","A","AB","B","CUKUP"
"50","B","B","A","CUKUP"
"1","BC","BC","AB","BAIK"
"56","BC","BC","BC","CUKUP"
"71","A","BC","C","CUKUP"
"9","A","B","AB","BAIK"
"12","B","BC","C","BAIK"
"55","B","C","C","CUKUP"
"5","A","BC","D","BAIK"
"46","AB","BC","A","CUKUP"
"41","AB","BC","BC","CUKUP"
"68","D","C","C","CUKUP"
"52","A","C","BC","CUKUP"
"42","BC","BC","C","CUKUP"
"45","AB","B","BC","CUKUP"
"13","AB","B","AB","BAIK"
"47","AB","BC","BC","CUKUP"
"74","D","D","E","CUKUP"
"2","A","B","A","BAIK"
"11","A","A","BC","BAIK"
"18","BC","BC","BC","BAIK"
"57","B","BC","BC","CUKUP"
"31","AB","B","BC","BAIK"
"69","A","B","B","CUKUP"
"21","A","B","B","BAIK"
"48","AB","BC","BC","CUKUP"
"73","B","C","BC","CUKUP"
"6","A","A","B","BAIK"
"10","A","B","C","BAIK"
"24","B","BC","BC","BAIK"
"38","BC","BC","C","CUKUP"
"44","B","BC","B","CUKUP"
"59","B","BC","D","CUKUP"
"20","AB","B","C","BAIK"
"26","AB","B","BC","BAIK"
"16","B","BC","C","BAIK"
"32","A","BC","C","BAIK"
"25","A","A","A","BAIK"
"23","A","A","B","BAIK"
"17","B","C","C","BAIK"
"8","AB","B","A","BAIK"
"40","C","D","C","CUKUP"
