"","KOM202","KOM331","CLASS"
"33","A","B","BAIK"
"90","A","BC","CUKUP"
"46","A","B","BAIK"
"99","BC","D","CUKUP"
"104","BC","BC","CUKUP"
"5","AB","A","BAIK"
"58","AB","B","BAIK"
"96","BC","C","CUKUP"
"59","BC","BC","CUKUP"
"48","BC","AB","BAIK"
"100","B","C","CUKUP"
"47","A","BC","BAIK"
"70","B","BC","CUKUP"
"108","A","BC","CUKUP"
"11","A","AB","BAIK"
"113","B","A","CUKUP"
"25","B","BC","BAIK"
"109","A","B","CUKUP"
"32","AB","B","BAIK"
"91","B","AB","CUKUP"
"84","B","AB","CUKUP"
"65","B","BC","CUKUP"
"106","B","AB","CUKUP"
"95","A","BC","CUKUP"
"60","C","BC","CUKUP"
"64","AB","BC","CUKUP"
"105","A","D","CUKUP"
"52","A","A","BAIK"
"98","A","C","CUKUP"
"13","A","BC","BAIK"
"81","C","BC","CUKUP"
"75","BC","D","CUKUP"
"57","BC","BC","BAIK"
"93","B","C","CUKUP"
"2","B","BC","BAIK"
"38","A","A","BAIK"
"111","BC","A","CUKUP"
"17","AB","AB","BAIK"
"86","B","C","CUKUP"
"18","A","AB","BAIK"
"110","B","D","CUKUP"
"31","B","B","BAIK"
"30","A","A","BAIK"
"27","BC","B","BAIK"
"74","BC","BC","CUKUP"
"10","BC","AB","BAIK"
"16","A","BC","BAIK"
"107","A","C","CUKUP"
"83","A","BC","CUKUP"
"56","BC","BC","BAIK"
"3","A","A","BAIK"
"28","BC","BC","BAIK"
"50","B","A","BAIK"
"8","BC","B","BAIK"
"34","B","D","BAIK"
"85","C","AB","CUKUP"
"61","A","D","CUKUP"
"43","A","BC","BAIK"
"51","B","BC","BAIK"
"21","A","A","BAIK"
"36","A","C","BAIK"
"6","B","BC","BAIK"
"20","B","BC","BAIK"
"14","AB","A","BAIK"
"41","B","AB","BAIK"
"22","BC","BC","BAIK"
"39","B","A","BAIK"
"88","B","D","CUKUP"
"103","BC","BC","CUKUP"
"112","C","B","CUKUP"
"94","B","C","CUKUP"
"76","C","C","CUKUP"
"35","BC","BC","BAIK"
"54","B","BC","BAIK"
"82","A","BC","CUKUP"
"73","BC","C","CUKUP"
"24","B","AB","BAIK"
"97","B","AB","CUKUP"
"42","B","AB","BAIK"
"68","C","D","CUKUP"
"101","BC","C","CUKUP"
"67","A","BC","CUKUP"
"7","A","B","BAIK"
"26","A","AB","BAIK"
"79","C","BC","CUKUP"
"80","C","C","CUKUP"
"49","B","BC","BAIK"
"114","AB","A","CUKUP"
"44","B","D","BAIK"
"71","BC","C","CUKUP"
"53","B","A","BAIK"
"102","A","C","CUKUP"
"29","A","AB","BAIK"
"55","A","A","BAIK"
"66","AB","BC","CUKUP"
"69","A","C","CUKUP"
"89","BC","BC","CUKUP"
"62","B","C","CUKUP"
"19","AB","A","BAIK"
"40","A","BC","BAIK"
"12","B","B","BAIK"
"77","BC","BC","CUKUP"
