"","MAT100","MAT215","CLASS"
"31","AB","BC","BAIK"
"82","B","B","CUKUP"
"43","AB","BC","CUKUP"
"91","B","BC","CUKUP"
"95","C","BC","CUKUP"
"5","B","B","BAIK"
"53","BC","B","CUKUP"
"88","AB","B","CUKUP"
"54","B","BC","CUKUP"
"44","A","C","CUKUP"
"102","B","BC","CUKUP"
"103","AB","BC","CUKUP"
"64","BC","AB","CUKUP"
"99","B","C","CUKUP"
"10","A","A","BAIK"
"81","B","C","CUKUP"
"22","AB","BC","BAIK"
"4","AB","C","BAIK"
"29","A","AB","BAIK"
"83","AB","BC","CUKUP"
"76","BC","BC","CUKUP"
"51","BC","C","CUKUP"
"58","B","C","CUKUP"
"2","A","A","BAIK"
"34","B","C","CUKUP"
"92","BC","C","CUKUP"
"15","B","B","BAIK"
"89","BC","BC","CUKUP"
"16","B","BC","BAIK"
"101","B","BC","CUKUP"
"27","A","BC","BAIK"
"93","BC","BC","CUKUP"
"77","E","D","CUKUP"
"65","A","B","CUKUP"
"9","B","BC","BAIK"
"14","A","AB","BAIK"
"28","A","AB","BAIK"
"66","BC","C","CUKUP"
"49","B","C","CUKUP"
"3","A","B","BAIK"
"24","B","B","BAIK"
"79","AB","B","CUKUP"
"7","AB","B","BAIK"
"87","B","C","CUKUP"
"11","A","BC","BAIK"
"52","B","BC","CUKUP"
"37","BC","BC","CUKUP"
"69","D","D","CUKUP"
"18","AB","B","BAIK"
"30","A","BC","BAIK"
"100","C","C","CUKUP"
"17","A","B","BAIK"
"85","D","D","CUKUP"
"70","C","D","CUKUP"
"46","A","BC","CUKUP"
"32","AB","AB","BAIK"
"105","B","BC","CUKUP"
"45","BC","C","CUKUP"
"80","A","B","CUKUP"
"63","C","C","CUKUP"
"74","A","C","CUKUP"
"90","B","BC","CUKUP"
"1","BC","BC","BAIK"
"68","A","B","CUKUP"
"56","A","C","CUKUP"
"42","A","AB","CUKUP"
"40","AB","B","CUKUP"
"61","A","AB","CUKUP"
"55","AB","C","CUKUP"
"48","BC","C","CUKUP"
"78","AB","BC","CUKUP"
"35","C","D","CUKUP"
"72","A","B","CUKUP"
"26","A","BC","BAIK"
"60","BC","D","CUKUP"
"19","A","B","BAIK"
"33","BC","D","CUKUP"
"36","AB","BC","CUKUP"
"21","A","AB","BAIK"
"71","B","C","CUKUP"
"62","A","BC","CUKUP"
"96","A","B","CUKUP"
"8","A","B","BAIK"
"98","A","AB","CUKUP"
"38","B","B","CUKUP"
"75","AB","B","CUKUP"
"39","AB","BC","CUKUP"
"50","A","B","CUKUP"
"25","A","B","BAIK"
"41","AB","BC","CUKUP"
"84","B","AB","CUKUP"
"6","A","A","BAIK"
"13","A","BC","BAIK"
"20","A","A","BAIK"
