"","MAT100","MAT215","CLASS"
"118","E","D","CUKUP"
"32","AB","AB","BAIK"
"6","A","A","BAIK"
"146","B","BC","CUKUP"
"122","B","C","CUKUP"
"113","A","B","CUKUP"
"87","A","BC","CUKUP"
"80","AB","BC","CUKUP"
"123","B","B","CUKUP"
"124","AB","BC","CUKUP"
"86","BC","C","CUKUP"
"66","A","B","BAIK"
"71","A","B","BAIK"
"35","A","AB","BAIK"
"18","AB","B","BAIK"
"112","B","C","CUKUP"
"104","C","C","CUKUP"
"79","B","B","CUKUP"
"90","B","C","CUKUP"
"3","A","B","BAIK"
"54","AB","AB","BAIK"
"84","AB","BC","CUKUP"
"24","B","B","BAIK"
"136","C","BC","CUKUP"
"25","A","B","BAIK"
"16","B","BC","BAIK"
"44","AB","BC","BAIK"
"105","BC","AB","CUKUP"
"38","B","B","BAIK"
"106","A","B","CUKUP"
"15","B","B","BAIK"
"109","A","B","CUKUP"
"47","A","BC","BAIK"
"27","A","BC","BAIK"
"110","D","D","CUKUP"
"5","B","B","BAIK"
"43","A","A","BAIK"
"76","C","D","CUKUP"
"12","A","B","BAIK"
"52","A","A","BAIK"
"19","A","B","BAIK"
"93","B","BC","CUKUP"
"68","A","B","BAIK"
"114","A","BC","CUKUP"
"33","A","A","BAIK"
"58","A","B","BAIK"
"9","B","BC","BAIK"
"139","A","AB","CUKUP"
"23","A","BC","BAIK"
"67","A","BC","BAIK"
"37","A","AB","BAIK"
"65","A","AB","BAIK"
"143","B","BC","CUKUP"
"135","B","BC","CUKUP"
"34","A","B","BAIK"
"121","A","B","CUKUP"
"48","A","B","BAIK"
"53","AB","BC","BAIK"
"1","BC","BC","BAIK"
"108","B","BC","CUKUP"
"102","A","AB","CUKUP"
"98","BC","C","CUKUP"
"95","B","BC","CUKUP"
"100","AB","B","CUKUP"
"8","A","B","BAIK"
"17","A","B","BAIK"
"145","B","B","CUKUP"
"70","A","A","BAIK"
"50","A","AB","BAIK"
"141","C","C","CUKUP"
"64","A","B","BAIK"
"60","A","A","BAIK"
"140","B","C","CUKUP"
"92","BC","C","CUKUP"
"10","A","A","BAIK"
"82","AB","BC","CUKUP"
"36","A","BC","BAIK"
"142","B","BC","CUKUP"
"72","A","B","BAIK"
"120","AB","B","CUKUP"
"57","B","BC","BAIK"
"40","A","BC","BAIK"
"96","AB","C","CUKUP"
"83","A","AB","CUKUP"
"107","BC","C","CUKUP"
"28","A","AB","BAIK"
"101","BC","D","CUKUP"
"22","AB","BC","BAIK"
"128","B","C","CUKUP"
"21","A","AB","BAIK"
"81","AB","B","CUKUP"
"41","A","A","BAIK"
"89","BC","C","CUKUP"
"119","AB","BC","CUKUP"
"129","AB","B","CUKUP"
"133","BC","C","CUKUP"
"11","A","BC","BAIK"
"116","AB","B","CUKUP"
"130","BC","BC","CUKUP"
"39","AB","AB","BAIK"
"49","A","BC","BAIK"
"94","BC","B","CUKUP"
"46","A","B","BAIK"
"30","A","BC","BAIK"
"144","AB","BC","CUKUP"
"29","A","AB","BAIK"
"56","AB","AB","BAIK"
"99","B","C","CUKUP"
"137","A","B","CUKUP"
"85","A","C","CUKUP"
"69","A","B","BAIK"
"4","AB","C","BAIK"
"2","A","A","BAIK"
"55","A","B","BAIK"
"126","D","D","CUKUP"
"51","A","B","BAIK"
"132","B","BC","CUKUP"
"103","A","BC","CUKUP"
"45","AB","B","BAIK"
"78","BC","BC","CUKUP"
"97","A","C","CUKUP"
"88","AB","D","CUKUP"
"61","A","A","BAIK"
"13","A","BC","BAIK"
"20","A","A","BAIK"
"111","C","D","CUKUP"
"117","BC","BC","CUKUP"
"73","A","AB","BAIK"
"26","A","BC","BAIK"
"75","B","C","CUKUP"
"31","AB","BC","BAIK"
