"","KOM206","KOM311","CLASS"
"32","A","A","CUKUP"
"86","BC","BC","CUKUP"
"44","C","B","CUKUP"
"94","B","A","CUKUP"
"99","C","B","CUKUP"
"5","B","B","BAIK"
"55","B","AB","CUKUP"
"92","BC","B","CUKUP"
"56","B","B","CUKUP"
"46","BC","C","CUKUP"
"95","B","AB","CUKUP"
"101","BC","B","CUKUP"
"90","B","A","CUKUP"
"87","BC","A","CUKUP"
"60","B","AB","CUKUP"
"100","B","B","CUKUP"
"49","B","B","CUKUP"
"24","B","D","CUKUP"
"12","BC","B","BAIK"
"77","BC","BC","CUKUP"
"71","C","C","CUKUP"
"54","B","A","CUKUP"
"88","C","BC","CUKUP"
"2","AB","A","BAIK"
"36","C","C","CUKUP"
"106","BC","B","CUKUP"
"16","C","C","CUKUP"
"93","BC","AB","CUKUP"
"17","C","B","CUKUP"
"105","BC","AB","CUKUP"
"29","C","B","CUKUP"
"28","B","C","CUKUP"
"25","BC","B","CUKUP"
"69","AB","B","CUKUP"
"9","BC","B","BAIK"
"15","AB","A","CUKUP"
"68","B","B","CUKUP"
"70","D","B","CUKUP"
"52","C","C","CUKUP"
"3","BC","C","BAIK"
"26","B","BC","CUKUP"
"83","C","C","CUKUP"
"7","A","B","BAIK"
"31","C","B","CUKUP"
"89","B","AB","CUKUP"
"73","B","C","CUKUP"
"40","BC","B","CUKUP"
"57","BC","B","CUKUP"
"19","B","A","CUKUP"
"33","C","A","CUKUP"
"104","B","B","CUKUP"
"50","C","AB","CUKUP"
"13","B","B","BAIK"
"37","B","B","CUKUP"
"20","B","B","CUKUP"
"35","B","C","CUKUP"
"43","BC","BC","CUKUP"
"82","B","B","CUKUP"
"18","C","BC","CUKUP"
"91","C","AB","CUKUP"
"81","AB","B","CUKUP"
"27","C","C","CUKUP"
"1","B","B","BAIK"
"76","B","AB","CUKUP"
"8","B","BC","BAIK"
"51","B","AB","CUKUP"
"107","BC","BC","CUKUP"
"11","B","B","BAIK"
"102","B","BC","CUKUP"
"34","D","C","CUKUP"
"47","C","BC","CUKUP"
"79","B","C","CUKUP"
"21","AB","A","CUKUP"
"59","BC","B","CUKUP"
"96","BC","B","CUKUP"
"78","B","BC","CUKUP"
"109","B","A","CUKUP"
"67","C","B","CUKUP"
"39","D","B","CUKUP"
"97","B","B","CUKUP"
"98","C","B","CUKUP"
"6","BC","A","BAIK"
"38","C","B","CUKUP"
"48","AB","A","CUKUP"
"58","B","B","CUKUP"
"72","B","B","CUKUP"
"75","B","B","CUKUP"
"42","B","BC","CUKUP"
"41","C","B","CUKUP"
"65","A","B","CUKUP"
"14","B","B","CUKUP"
"22","AB","AB","CUKUP"
"64","B","B","CUKUP"
"62","B","B","CUKUP"
"53","B","A","CUKUP"
"63","B","C","CUKUP"
"84","B","B","CUKUP"
"74","BC","B","CUKUP"
