"","KOM206","KOM311","CLASS"
"8","B","BC","BAIK"
"20","B","B","CUKUP"
"10","A","AB","BAIK"
"21","AB","A","CUKUP"
"23","BC","B","CUKUP"
"1","B","B","BAIK"
"24","B","D","CUKUP"
"26","B","BC","CUKUP"
"16","C","C","CUKUP"
"7","A","B","BAIK"
"18","C","BC","CUKUP"
"19","B","A","CUKUP"
"2","AB","A","BAIK"
"14","B","B","CUKUP"
"3","BC","C","BAIK"
"22","AB","AB","CUKUP"
"25","BC","B","CUKUP"
"15","AB","A","CUKUP"
"6","BC","A","BAIK"
"4","B","C","BAIK"
"13","B","B","BAIK"
"5","B","B","BAIK"
"12","BC","B","BAIK"
"9","BC","B","BAIK"
