MAT221,KOM321,CLASS
B,C,BAIK
BC,C,CUKUP
AB,B,CUKUP
B,BC,BAIK
B,B,CUKUP
A,A,BAIK
BC,B,CUKUP
BC,C,CUKUP
C,C,BAIK
D,D,CUKUP
D,C,CUKUP
C,C,CUKUP
B,BC,BAIK
C,C,BAIK
C,BC,CUKUP
AB,C,CUKUP
AB,AB,BAIK
C,B,CUKUP
A,B,BAIK
C,BC,BAIK
D,C,CUKUP
D,C,CUKUP
BC,B,CUKUP
C,BC,CUKUP
AB,BC,BAIK
A,A,BAIK
BC,C,CUKUP
AB,BC,BAIK
A,AB,CUKUP
D,BC,BAIK
BC,C,CUKUP
C,B,BAIK
C,C,CUKUP
B,BC,BAIK
BC,C,CUKUP
B,C,BAIK
A,AB,BAIK
C,BC,CUKUP
B,B,BAIK
BC,B,BAIK
B,C,BAIK
D,B,CUKUP
B,BC,CUKUP
C,BC,BAIK
A,B,BAIK
A,A,BAIK
BC,D,BAIK
A,AB,BAIK
AB,A,BAIK
AB,AB,BAIK
D,D,CUKUP
AB,AB,BAIK
B,BC,CUKUP
B,C,CUKUP
B,BC,CUKUP
BC,B,BAIK
D,BC,BAIK
C,B,CUKUP
BC,D,CUKUP
BC,B,BAIK
AB,D,CUKUP
D,D,CUKUP
BC,BC,BAIK
C,BC,CUKUP
B,BC,BAIK
A,BC,BAIK
B,B,BAIK
AB,C,CUKUP
B,C,BAIK
BC,BC,CUKUP
B,BC,BAIK
A,B,BAIK
D,BC,CUKUP
C,C,CUKUP
B,BC,CUKUP
AB,B,BAIK
C,B,BAIK
C,C,CUKUP
C,B,CUKUP
B,BC,CUKUP
D,C,CUKUP
BC,B,BAIK
D,C,CUKUP
C,D,BAIK
D,C,CUKUP
B,BC,CUKUP
BC,D,CUKUP
AB,AB,CUKUP
C,AB,BAIK
