KOM202,KOM207,KOM321,CLASS
A,AB,C,BAIK
A,A,C,CUKUP
AB,B,B,CUKUP
B,A,BC,BAIK
BC,A,B,CUKUP
A,A,A,BAIK
BC,BC,B,CUKUP
B,B,C,CUKUP
C,B,C,BAIK
C,BC,D,CUKUP
BC,BC,C,CUKUP
BC,BC,C,CUKUP
B,A,BC,BAIK
B,BC,C,BAIK
BC,B,BC,CUKUP
AB,AB,C,CUKUP
A,B,AB,BAIK
BC,BC,B,CUKUP
AB,BC,B,BAIK
BC,B,BC,BAIK
C,BC,C,CUKUP
BC,AB,C,CUKUP
B,AB,B,CUKUP
B,AB,BC,CUKUP
A,AB,BC,BAIK
A,A,A,BAIK
A,AB,C,CUKUP
A,A,BC,BAIK
A,A,AB,CUKUP
BC,BC,BC,BAIK
C,BC,C,CUKUP
A,A,B,BAIK
BC,BC,C,CUKUP
A,B,BC,BAIK
BC,C,C,CUKUP
A,B,C,BAIK
B,A,AB,BAIK
C,BC,BC,CUKUP
A,AB,B,BAIK
A,B,B,BAIK
BC,B,C,BAIK
D,B,B,CUKUP
AB,BC,BC,CUKUP
B,B,BC,BAIK
A,A,B,BAIK
A,A,A,BAIK
B,AB,D,BAIK
A,A,AB,BAIK
A,A,A,BAIK
A,A,AB,BAIK
C,BC,D,CUKUP
A,A,AB,BAIK
A,AB,BC,CUKUP
B,BC,C,CUKUP
AB,A,BC,CUKUP
B,AB,B,BAIK
BC,A,BC,BAIK
C,B,B,CUKUP
C,BC,D,CUKUP
A,AB,B,BAIK
BC,BC,D,CUKUP
B,AB,BC,BAIK
BC,BC,BC,CUKUP
B,A,BC,BAIK
B,B,BC,BAIK
A,A,B,BAIK
AB,A,C,BAIK
A,AB,BC,CUKUP
AB,B,BC,BAIK
A,A,B,BAIK
A,AB,BC,CUKUP
BC,AB,C,CUKUP
AB,A,BC,CUKUP
A,A,B,BAIK
AB,A,B,BAIK
C,AB,C,CUKUP
A,BC,B,CUKUP
A,BC,BC,CUKUP
D,B,C,CUKUP
A,A,B,BAIK
BC,BC,C,CUKUP
B,B,D,BAIK
BC,BC,C,CUKUP
A,A,BC,CUKUP
A,A,D,CUKUP
AB,A,AB,CUKUP
BC,A,AB,BAIK
