MAT100,MAT221,CLASS
B,B,CUKUP
BC,BC,BAIK
B,AB,CUKUP
AB,B,BAIK
B,B,CUKUP
A,A,BAIK
A,BC,CUKUP
B,BC,CUKUP
C,D,CUKUP
B,C,CUKUP
AB,B,CUKUP
D,C,CUKUP
C,C,CUKUP
A,AB,CUKUP
B,AB,BAIK
B,C,CUKUP
AB,A,BAIK
C,C,CUKUP
C,D,CUKUP
C,BC,BAIK
B,C,CUKUP
A,AB,BAIK
A,A,BAIK
A,BC,CUKUP
A,AB,BAIK
A,A,BAIK
D,D,CUKUP
AB,C,BAIK
C,C,CUKUP
A,B,BAIK
B,BC,BAIK
A,B,BAIK
B,A,BAIK
BC,C,CUKUP
C,D,CUKUP
A,B,BAIK
AB,BC,BAIK
D,D,CUKUP
B,B,BAIK
BC,D,CUKUP
B,B,BAIK
AB,C,BAIK
A,A,BAIK
AB,A,BAIK
D,D,CUKUP
A,BC,BAIK
A,A,BAIK
C,D,CUKUP
B,AB,BAIK
A,AB,BAIK
E,D,CUKUP
A,AB,BAIK
A,B,BAIK
BC,B,BAIK
AB,B,BAIK
A,BC,CUKUP
B,D,CUKUP
B,C,CUKUP
BC,BC,CUKUP
B,BC,CUKUP
C,D,CUKUP
B,BC,CUKUP
C,C,CUKUP
A,B,CUKUP
B,A,BAIK
BC,B,BAIK
B,AB,CUKUP
B,B,BAIK
AB,BC,BAIK
A,B,BAIK
A,A,BAIK
AB,D,CUKUP
C,C,CUKUP
B,B,CUKUP
A,AB,BAIK
BC,C,CUKUP
BC,C,CUKUP
A,B,BAIK
BC,D,CUKUP
AB,BC,BAIK
C,D,CUKUP
B,C,CUKUP
C,D,CUKUP
A,B,BAIK
B,BC,CUKUP
A,AB,BAIK
AB,C,CUKUP
