KOM205,KOM335
3.5,3.5
3.5,3.5
3.5,3
4,4
3.5,3
4,4
3,2.5
3.5,3.5
3.5,2.5
3,3
2.5,3
3,4
3.5,3.5
3,3.5
2.5,3
3.5,3.5
3.5,3.5
3,2.5
3.5,3.5
3.5,3.5
2.5,3
3,3
3.5,3
3,2.5
3.5,4
4,4
3,3.5
3.5,3
4,4
3.5,3
3.5,3
3.5,2.5
2,0
3.5,3.5
3.5,3
3.5,4
4,3
4,3.5
3.5,3
2,2.5
4,3.5
4,4
3.5,3.5
3.5,4
3,3.5
3.5,3
3,3.5
3.5,3
4,4
3,2.5
3.5,3.5
4,4
3,3
4,4
4,3.5
3,3.5
4,3
3.5,3
3,3.5
3.5,3.5
3.5,3
3.5,4
3,3.5
3.5,2.5
3.5,3.5
3.5,2.5
4,3.5
2.5,3.5
3,3
4,4
3.5,4
4,4
3.5,3.5
3.5,3.5
4,3.5
4,3.5
3.5,4
3.5,2.5
4,3.5
3.5,3.5
3.5,3.5
3,3.5
3.5,3
3.5,3.5
4,4
4,3
3.5,2.5
2.5,2
2.5,2
3,2.5
3.5,4
3,3.5
3,2.5
4,4
