KOM203,KOM206
2,2
3,2.5
3,2
3,2.5
3,2
2,2.5
2.5,2.5
4,4
2,2
3,3
3,2.5
3,2
3,2
3,3
2.5,2.5
3,3
4,3
3.5,3
2.5,2.5
3,3.5
2.5,3
4,2.5
4,2.5
2.5,3
3.5,3
1,2.5
2.5,3
3,3.5
2,2
2,2
3,2.5
2.5,3.5
3,3
2.5,2.5
2,2.5
2,2.5
2,2.5
2,2
3.5,3.5
2.5,2.5
2,2
3,4
3,3
2,2.5
2.5,2.5
3,2.5
2,0
1,0
2.5,3
3,2
2,2
3,2
3,2.5
4,4
3.5,4
3,3
3,2.5
4,3.5
2.5,2.5
2.5,2.5
2,3
4,3
2.5,3
3,3
2.5,2.5
3,3.5
3,3
2.5,2.5
3.5,2.5
2,2.5
3,2.5
3,2.5
2,2
3,2.5
3,2.5
4,3.5
3,2.5
3,2.5
2.5,2.5
3.5,3
3,3
3,2.5
4,3
2,2
2.5,2.5
2,2.5
2,2.5
