AGB100,MAT100,KPM130,IPB112,IPB111,IPB108,IPB107,FIS100,BIO100,KIM101,MAT103,KOM101,KOM201,IPB106,IPB100,EKO100,CLASS
A,BC,B,A,B,A,C,B,D,BC,C,BC,AB,AB,AB,C,HighRisk
A,D,B,A,A,A,C,C,BC,BC,D,BC,AB,A,AB,BC,HighRisk
A,B,A,A,A,A,B,BC,C,BC,BC,C,A,AB,A,AB,HighRisk
A,D,BC,A,AB,AB,B,BC,C,C,D,C,A,BC,AB,C,HighRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,A,AB,B,HighRisk
A,BC,B,A,B,B,B,C,D,C,D,C,B,A,AB,B,HighRisk
A,D,AB,A,AB,B,C,C,C,BC,BC,C,A,AB,AB,B,HighRisk
A,C,C,B,BC,B,BC,C,D,D,D,BC,AB,AB,AB,D,HighRisk
A,AB,A,B,B,C,AB,C,AB,BC,BC,C,B,B,A,BC,HighRisk
A,B,C,B,AB,AB,D,C,D,C,D,C,AB,AB,AB,D,HighRisk
A,BC,A,B,B,AB,BC,C,D,BC,D,C,A,AB,AB,BC,HighRisk
A,B,B,B,A,A,C,BC,C,B,C,BC,A,A,A,A,HighRisk
A,BC,BC,A,B,B,B,C,D,C,D,C,AB,A,B,A,HighRisk
A,C,A,A,AB,C,B,C,C,C,D,C,AB,B,A,B,HighRisk
A,B,AB,A,AB,AB,B,B,BC,B,C,B,A,B,AB,B,HighRisk
A,C,BC,A,B,AB,A,C,D,BC,D,D,AB,AB,AB,C,HighRisk
A,C,B,A,AB,B,C,C,D,C,D,D,A,B,AB,D,HighRisk
A,BC,AB,A,B,B,BC,C,C,BC,D,C,A,A,A,B,HighRisk
A,BC,B,B,AB,B,BC,C,D,BC,D,D,B,A,A,B,HighRisk
A,C,C,A,AB,A,BC,BC,D,BC,D,B,AB,A,AB,C,HighRisk
A,B,B,A,B,A,AB,BC,BC,BC,BC,AB,A,AB,B,A,HighRisk
A,D,BC,B,B,A,BC,C,D,C,D,C,A,B,AB,BC,HighRisk
A,C,AB,A,AB,A,C,BC,C,C,D,C,AB,B,AB,BC,HighRisk
A,BC,A,A,B,B,BC,C,C,BC,C,C,AB,BC,A,B,HighRisk
AB,E,B,A,B,C,C,D,E,D,D,D,AB,BC,B,C,HighRisk
A,B,AB,A,B,AB,A,C,D,C,C,BC,A,B,A,A,HighRisk
A,BC,AB,A,B,D,C,C,D,BC,BC,C,A,AB,AB,AB,LowRisk
A,B,AB,A,A,A,B,B,B,B,BC,B,A,A,A,BC,LowRisk
A,B,A,A,AB,A,A,C,C,BC,C,BC,A,AB,AB,AB,LowRisk
A,BC,AB,A,AB,AB,C,C,C,BC,D,B,A,AB,AB,AB,LowRisk
A,A,AB,B,A,A,B,A,AB,A,B,A,A,A,A,A,LowRisk
A,BC,A,A,AB,A,AB,BC,D,C,C,BC,A,AB,AB,BC,LowRisk
A,AB,AB,A,A,AB,BC,C,B,AB,B,A,A,A,AB,A,LowRisk
A,B,BC,B,B,A,A,BC,C,BC,BC,AB,A,A,AB,AB,LowRisk
A,AB,A,A,A,A,B,AB,BC,AB,BC,B,A,A,AB,A,LowRisk
A,B,AB,A,AB,A,A,BC,D,C,BC,AB,A,AB,A,AB,LowRisk
A,A,AB,A,BC,AB,A,B,BC,B,BC,B,A,B,AB,A,LowRisk
A,A,A,B,A,A,A,AB,A,A,A,A,A,A,A,A,LowRisk
A,AB,AB,A,B,AB,AB,AB,A,AB,BC,B,A,AB,AB,AB,LowRisk
A,BC,B,A,AB,AB,B,C,BC,BC,D,BC,A,AB,AB,B,LowRisk
A,A,A,A,A,A,A,AB,A,A,B,AB,A,A,A,A,LowRisk
A,AB,AB,B,A,A,AB,B,B,AB,BC,B,A,A,B,AB,LowRisk
A,A,AB,A,B,A,BC,AB,C,B,B,A,A,A,A,A,LowRisk
A,A,A,B,AB,A,AB,B,BC,A,A,BC,AB,A,AB,A,LowRisk
A,AB,A,A,AB,AB,BC,B,BC,BC,BC,B,A,A,A,AB,LowRisk
A,B,A,A,B,A,B,BC,C,A,B,B,A,A,AB,A,LowRisk
A,B,AB,A,AB,B,B,B,D,BC,BC,B,A,AB,B,B,LowRisk
A,A,A,A,AB,A,B,AB,AB,A,AB,A,A,A,AB,B,LowRisk
A,A,A,A,AB,AB,A,A,B,AB,B,BC,A,A,A,AB,LowRisk
A,BC,A,A,AB,A,AB,BC,AB,B,BC,AB,A,A,A,A,LowRisk
A,BC,AB,A,AB,AB,BC,C,D,C,C,AB,A,AB,AB,B,LowRisk
A,BC,A,A,B,B,BC,BC,BC,BC,BC,C,A,AB,AB,AB,LowRisk
