"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"157","A","A","A","AB","AB","B","AB","A","AB","AB","A","B","AB","A","B","LowRisk"
"122","A","BC","A","AB","B","A","A","B","AB","AB","AB","A","AB","A","B","LowRisk"
"112","A","B","A","B","AB","B","AB","AB","A","A","A","A","B","AB","B","LowRisk"
"173","A","BC","AB","AB","A","B","AB","B","B","AB","A","A","C","AB","BC","LowRisk"
"113","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","LowRisk"
"175","A","B","AB","A","B","A","AB","B","BC","A","AB","A","B","A","A","LowRisk"
"93","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"190","A","BC","AB","AB","AB","A","B","A","C","A","AB","A","BC","AB","AB","LowRisk"
"49","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"25","A","C","BC","AB","BC","B","BC","C","BC","C","B","BC","D","AB","D","HighRisk"
"160","A","AB","A","A","AB","B","A","A","A","A","AB","A","B","A","A","LowRisk"
"149","A","BC","A","B","A","A","A","A","BC","A","A","B","C","A","BC","LowRisk"
"114","AB","A","A","A","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"130","A","A","A","B","AB","A","AB","A","AB","B","A","AB","B","AB","A","LowRisk"
"4","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","HighRisk"
"77","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"193","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"35","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","HighRisk"
"51","A","C","AB","A","B","A","BC","C","D","D","B","A","C","A","D","HighRisk"
"37","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","HighRisk"
"23","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"65","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"64","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"196","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"24","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"21","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","HighRisk"
"159","A","B","B","AB","AB","A","A","B","AB","AB","A","B","BC","AB","B","LowRisk"
"70","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"40","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","HighRisk"
"127","A","AB","A","A","A","A","A","A","A","A","AB","A","AB","A","B","LowRisk"
"7","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
