"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"85","AB","AB","A","A","B","A","A","A","AB","AB","A","AB","BC","A","A","MediumRisk"
"231","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"120","A","D","BC","B","B","A","B","BC","D","BC","BC","B","C","BC","D","HighRisk"
"257","A","BC","AB","A","B","B","BC","C","C","BC","D","A","A","A","B","HighRisk"
"272","A","AB","AB","B","A","A","A","B","A","A","B","A","A","A","A","LowRisk"
"14","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","MediumRisk"
"152","A","AB","AB","A","A","A","A","A","AB","A","A","A","B","A","A","LowRisk"
"256","A","BC","A","A","BC","A","B","C","BC","C","BC","A","AB","AB","BC","MediumRisk"
"158","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"130","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
"271","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"128","A","AB","AB","A","AB","A","AB","B","BC","A","B","A","B","AB","B","MediumRisk"
"191","A","C","B","A","B","A","AB","BC","D","C","B","BC","BC","AB","C","MediumRisk"
"161","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"29","A","C","AB","B","AB","A","AB","BC","D","AB","B","B","C","AB","C","HighRisk"
"251","A","B","AB","A","AB","AB","B","B","BC","B","C","A","B","AB","B","HighRisk"
"69","A","BC","AB","A","AB","A","A","AB","B","A","AB","B","BC","AB","B","MediumRisk"
"12","A","AB","AB","AB","B","A","AB","AB","AB","A","AB","A","B","AB","B","MediumRisk"
"91","A","A","A","AB","AB","B","AB","A","AB","AB","A","B","AB","A","B","MediumRisk"
"262","A","B","AB","A","B","B","AB","B","B","BC","B","A","A","AB","B","LowRisk"
"243","A","BC","A","B","B","AB","BC","C","D","BC","D","A","AB","AB","BC","HighRisk"
"189","AB","B","AB","A","B","A","B","B","B","AB","AB","A","BC","A","BC","MediumRisk"
"174","A","BC","AB","AB","AB","A","B","B","AB","A","A","A","B","AB","BC","HighRisk"
"269","A","BC","A","A","A","A","B","C","BC","BC","C","A","A","AB","A","MediumRisk"
"177","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"190","A","AB","A","AB","AB","A","A","A","B","A","AB","AB","B","A","B","LowRisk"
"146","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"159","AB","A","B","AB","AB","A","B","A","BC","AB","BC","AB","AB","A","A","LowRisk"
"77","A","C","AB","AB","AB","A","AB","AB","B","B","A","A","C","AB","BC","HighRisk"
"39","A","AB","A","A","AB","A","AB","A","A","AB","AB","B","B","A","B","MediumRisk"
"254","A","C","B","A","AB","B","C","C","D","C","D","A","B","AB","D","HighRisk"
"237","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"181","A","B","A","AB","C","A","AB","B","AB","A","AB","A","B","A","B","LowRisk"
"207","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","MediumRisk"
"7","A","B","A","A","BC","B","AB","A","B","A","AB","AB","BC","B","AB","LowRisk"
"124","A","B","A","A","A","A","AB","AB","AB","A","AB","A","B","A","BC","MediumRisk"
"195","A","BC","AB","A","AB","A","B","BC","BC","BC","AB","AB","C","AB","D","HighRisk"
"56","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"82","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"59","A","C","A","B","AB","A","A","B","A","A","A","A","BC","B","C","HighRisk"
"37","A","AB","A","A","B","A","A","A","A","AB","A","AB","C","A","B","MediumRisk"
"105","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","HighRisk"
"104","A","BC","B","A","AB","A","AB","B","B","A","A","A","BC","AB","AB","MediumRisk"
"93","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","HighRisk"
"38","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"35","A","D","C","BC","BC","B","D","D","D","C","B","C","D","C","D","HighRisk"
"58","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"115","A","BC","A","AB","AB","A","AB","AB","BC","A","AB","A","B","AB","B","LowRisk"
"66","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"210","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"276","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","HighRisk"
"108","A","BC","AB","AB","AB","A","A","B","BC","AB","A","A","BC","A","B","MediumRisk"
"193","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","HighRisk"
"30","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","HighRisk"
"135","A","B","AB","AB","AB","A","A","B","BC","A","AB","A","BC","A","D","HighRisk"
"50","A","C","A","A","B","B","AB","B","B","A","AB","A","C","A","B","MediumRisk"
"31","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","HighRisk"
"178","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","MediumRisk"
"211","A","B","A","A","A","A","B","BC","C","BC","BC","A","AB","A","AB","HighRisk"
"88","A","B","A","A","B","A","AB","A","BC","A","AB","B","BC","B","A","MediumRisk"
"155","A","BC","A","AB","A","A","A","B","AB","A","A","A","AB","B","BC","MediumRisk"
"23","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"89","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
