"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"95","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"257","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","MediumRisk"
"133","A","AB","AB","B","BC","A","B","AB","AB","A","AB","A","BC","AB","AB","LowRisk"
"287","A","B","A","A","A","A","AB","A","A","A","AB","A","BC","A","B","MediumRisk"
"304","A","AB","AB","B","A","A","AB","B","B","AB","BC","A","A","B","AB","MediumRisk"
"15","A","B","A","B","AB","A","B","B","B","C","AB","A","BC","BC","B","HighRisk"
"170","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"286","A","B","AB","A","AB","A","A","AB","AB","AB","AB","B","AB","A","AB","MediumRisk"
"176","A","BC","A","A","AB","A","AB","BC","AB","B","BC","A","A","A","A","LowRisk"
"146","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"323","A","B","C","B","AB","AB","D","AB","BC","B","BC","AB","A","AB","B","MediumRisk"
"144","A","AB","AB","A","A","A","A","A","AB","A","A","A","AB","A","A","LowRisk"
"214","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"180","A","BC","A","A","A","A","A","AB","AB","B","C","A","B","A","B","LowRisk"
"33","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"281","A","AB","AB","A","A","A","A","AB","A","A","A","A","AB","A","B","MediumRisk"
"77","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"14","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"102","A","BC","A","A","B","B","BC","C","C","BC","C","AB","BC","A","B","HighRisk"
"294","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","MediumRisk"
"274","A","AB","AB","A","AB","A","AB","B","BC","A","B","A","B","AB","B","MediumRisk"
"212","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"196","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"303","A","BC","B","A","AB","AB","B","C","BC","BC","D","A","AB","AB","B","MediumRisk"
"199","A","AB","A","AB","A","A","A","AB","A","A","A","A","B","A","A","LowRisk"
"315","A","A","AB","A","AB","A","AB","B","C","BC","B","A","A","AB","AB","MediumRisk"
"164","A","AB","B","A","AB","A","AB","A","B","AB","AB","A","B","AB","AB","LowRisk"
"179","A","B","AB","A","AB","A","B","BC","BC","BC","C","A","A","AB","AB","LowRisk"
"87","A","C","A","A","AB","C","B","C","C","C","D","AB","B","A","B","HighRisk"
"44","A","D","BC","A","B","A","AB","B","D","BC","AB","AB","C","B","BC","HighRisk"
"324","A","AB","AB","A","AB","A","B","AB","C","AB","BC","AB","AB","A","AB","MediumRisk"
"268","AB","C","A","D","AB","A","AB","B","B","BC","A","B","C","A","C","MediumRisk"
"204","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
"234","A","BC","A","AB","B","A","A","B","AB","AB","AB","A","AB","A","B","MediumRisk"
"8","A","C","B","A","AB","E","B","BC","C","C","AB","AB","C","B","BC","HighRisk"
"140","A","B","AB","AB","AB","A","A","A","B","A","AB","A","B","B","AB","LowRisk"
"221","A","B","AB","B","AB","A","B","AB","B","A","AB","AB","BC","AB","A","MediumRisk"
"63","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"92","A","BC","B","B","AB","B","BC","C","D","BC","D","B","A","A","B","HighRisk"
"67","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","HighRisk"
"41","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","HighRisk"
"119","A","AB","A","B","B","B","A","A","A","A","AB","A","AB","AB","A","LowRisk"
"118","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
"105","A","C","B","B","B","A","B","AB","D","C","B","AB","D","B","C","HighRisk"
"298","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","MediumRisk"
"40","A","C","BC","A","A","A","B","C","D","D","AB","AB","D","A","D","HighRisk"
"66","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"131","A","AB","A","A","AB","A","AB","A","A","A","A","A","AB","A","AB","LowRisk"
"75","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"239","A","BC","A","B","B","B","AB","BC","BC","AB","A","B","B","AB","BC","MediumRisk"
"13","A","C","AB","AB","B","A","A","BC","A","B","AB","B","BC","B","D","HighRisk"
"123","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"220","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","MediumRisk"
"34","A","BC","A","A","B","A","AB","BC","BC","C","AB","BC","C","AB","D","HighRisk"
"154","A","B","A","A","A","A","A","B","B","A","AB","A","BC","A","BC","LowRisk"
"57","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"35","A","BC","BC","A","BC","A","B","BC","E","A","AB","B","D","BC","D","HighRisk"
"295","A","B","A","A","AB","A","A","C","C","BC","C","A","AB","AB","AB","MediumRisk"
"241","B","BC","A","A","B","A","A","BC","AB","B","A","A","BC","A","C","MediumRisk"
"101","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"178","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"26","A","C","BC","AB","BC","B","BC","C","BC","C","B","BC","D","AB","D","HighRisk"
"309","A","BC","A","A","B","B","BC","BC","BC","BC","BC","A","AB","AB","AB","MediumRisk"
"73","A","C","BC","B","BC","A","BC","C","D","C","AB","B","BC","AB","D","HighRisk"
"215","A","A","AB","B","A","A","B","A","AB","A","B","A","A","A","A","LowRisk"
"285","AB","B","A","A","AB","A","AB","A","B","A","AB","A","B","A","B","MediumRisk"
"306","A","AB","A","A","AB","AB","BC","B","BC","BC","BC","A","A","A","AB","MediumRisk"
"261","A","AB","B","AB","AB","A","AB","A","BC","A","A","A","B","AB","A","MediumRisk"
"206","A","B","BC","B","A","A","A","B","BC","AB","BC","A","AB","AB","AB","LowRisk"
"114","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
"194","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"162","A","AB","A","A","A","A","A","A","A","A","A","A","B","A","AB","LowRisk"
"182","A","A","A","B","AB","A","AB","AB","A","A","A","A","A","A","A","LowRisk"
"1","A","C","A","A","A","A","A","BC","BC","C","A","AB","C","AB","BC","HighRisk"
"121","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"56","A","C","B","BC","B","A","B","BC","D","B","A","AB","BC","BC","C","HighRisk"
"96","A","D","BC","B","B","A","BC","C","D","C","D","A","B","AB","BC","HighRisk"
"273","A","AB","A","A","A","A","A","A","AB","AB","A","A","BC","A","B","MediumRisk"
"88","A","B","AB","A","AB","AB","B","B","BC","B","C","A","B","AB","B","HighRisk"
"28","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"61","A","BC","AB","AB","AB","A","B","B","AB","A","A","A","B","AB","BC","HighRisk"
"165","A","B","A","A","A","A","A","AB","AB","A","A","A","BC","A","B","LowRisk"
"103","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"193","A","B","BC","B","A","A","A","B","BC","AB","BC","A","AB","AB","AB","LowRisk"
"25","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"106","A","C","BC","BC","AB","A","BC","C","C","C","B","BC","C","B","D","HighRisk"
"238","A","A","A","B","AB","A","AB","A","AB","B","A","AB","B","AB","A","MediumRisk"
