"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"73","A","C","BC","B","BC","A","BC","C","D","C","AB","B","BC","AB","D","HighRisk"
"198","A","AB","A","AB","AB","A","AB","A","A","A","AB","A","BC","AB","A","MediumRisk"
"103","A","BC","A","B","A","A","A","A","BC","A","A","B","C","A","BC","LowRisk"
"220","A","BC","AB","A","AB","A","A","B","AB","AB","AB","A","B","A","C","MediumRisk"
"234","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","MediumRisk"
"12","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","HighRisk"
"130","A","AB","B","A","A","A","A","A","BC","A","A","A","AB","B","A","LowRisk"
"219","A","B","AB","AB","AB","A","AB","B","C","A","AB","AB","C","A","BC","MediumRisk"
"135","A","B","A","A","A","A","A","BC","BC","A","AB","A","B","A","A","LowRisk"
"111","A","B","A","AB","AB","A","A","BC","B","A","AB","AB","BC","AB","BC","LowRisk"
"232","A","AB","B","A","A","A","AB","B","BC","BC","BC","B","C","A","BC","MediumRisk"
"110","A","B","AB","A","B","A","AB","B","BC","A","AB","A","B","A","A","LowRisk"
"163","A","AB","AB","B","A","A","A","B","A","A","B","A","A","A","A","LowRisk"
"137","A","AB","A","A","A","A","A","A","A","A","A","A","B","A","AB","LowRisk"
"25","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"214","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","MediumRisk"
"59","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"10","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"77","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"223","A","AB","A","A","A","A","A","A","AB","AB","A","A","BC","A","B","MediumRisk"
"207","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","MediumRisk"
"161","A","A","A","A","A","A","A","AB","A","AB","AB","A","A","A","A","LowRisk"
"148","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"228","A","B","AB","AB","B","A","AB","B","B","A","AB","A","BC","AB","C","MediumRisk"
"150","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"231","A","AB","AB","A","A","A","A","AB","A","A","A","A","AB","A","B","MediumRisk"
"123","A","B","B","AB","B","A","A","B","A","A","A","A","BC","AB","BC","LowRisk"
"134","A","B","A","AB","C","A","AB","B","AB","A","AB","A","B","A","B","LowRisk"
"65","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"33","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"237","A","B","A","A","A","A","AB","A","A","A","AB","A","BC","A","B","MediumRisk"
"200","A","B","A","A","A","A","AB","B","B","AB","A","B","B","A","B","MediumRisk"
"152","A","AB","AB","A","AB","A","AB","AB","B","B","B","A","AB","AB","AB","LowRisk"
"175","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","MediumRisk"
"6","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"104","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"164","A","A","AB","A","AB","A","AB","AB","B","AB","AB","A","A","A","A","LowRisk"
"47","A","C","AB","B","AB","A","A","C","D","BC","AB","AB","C","A","D","HighRisk"
"69","B","BC","AB","A","B","B","B","C","BC","D","AB","B","C","A","D","HighRisk"
"50","A","C","B","B","B","A","B","C","C","B","B","B","D","B","D","HighRisk"
"31","A","C","AB","A","BC","E","B","D","C","C","AB","B","C","B","D","HighRisk"
"88","AB","AB","B","AB","B","A","B","A","B","A","A","A","AB","A","A","LowRisk"
"87","A","B","A","A","B","B","AB","AB","A","A","A","AB","B","A","B","LowRisk"
"78","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"32","A","C","A","AB","C","B","B","B","AB","BC","A","B","BC","AB","BC","HighRisk"
"29","A","AB","A","B","AB","A","A","B","A","A","A","A","BC","A","BC","HighRisk"
"49","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","HighRisk"
"96","AB","AB","A","A","BC","A","AB","A","AB","A","AB","AB","BC","BC","A","LowRisk"
"55","A","C","C","BC","B","A","BC","D","D","BC","B","BC","C","B","D","HighRisk"
"245","A","B","A","A","AB","A","A","C","C","BC","C","A","AB","AB","AB","MediumRisk"
"235","AB","B","A","A","AB","A","AB","A","B","A","AB","A","B","A","B","MediumRisk"
"89","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
"160","A","A","AB","B","AB","A","AB","AB","AB","A","A","A","B","AB","A","LowRisk"
"238","A","B","A","AB","AB","A","AB","AB","D","AB","AB","AB","BC","A","B","MediumRisk"
"112","A","BC","A","AB","AB","A","AB","AB","BC","A","AB","A","B","AB","B","LowRisk"
"41","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","HighRisk"
"199","AB","B","AB","A","BC","A","B","B","B","AB","AB","B","C","AB","A","MediumRisk"
"147","A","A","AB","A","B","A","BC","AB","C","B","B","A","A","A","A","LowRisk"
"174","A","AB","A","A","A","A","A","AB","B","AB","AB","A","BC","A","B","MediumRisk"
"252","A","AB","AB","A","B","AB","AB","AB","A","AB","BC","A","AB","AB","AB","MediumRisk"
