"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"280","A","BC","AB","A","AB","A","BC","BC","C","B","BC","A","AB","A","AB","LowRisk"
"289","A","B","BC","B","A","A","A","B","BC","AB","BC","A","AB","AB","AB","LowRisk"
"153","A","BC","A","A","A","A","A","AB","B","A","AB","A","B","A","B","LowRisk"
"42","A","AB","A","A","AB","A","A","A","A","A","A","AB","A","A","A","LowRisk"
"75","A","AB","A","B","AB","A","A","B","A","A","A","A","BC","A","BC","HighRisk"
"220","A","AB","A","A","A","A","B","AB","BC","AB","BC","A","A","AB","A","LowRisk"
"13","AB","AB","B","AB","B","A","B","A","B","A","A","A","AB","A","A","LowRisk"
"164","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"266","A","A","AB","A","AB","A","AB","B","C","BC","B","A","A","AB","AB","LowRisk"
"151","A","C","D","B","BC","A","BC","C","D","D","AB","B","D","BC","D","HighRisk"
"144","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"239","A","BC","AB","A","AB","AB","BC","C","D","C","C","A","AB","AB","B","LowRisk"
"288","A","AB","A","B","B","A","B","AB","B","AB","BC","A","AB","A","AB","LowRisk"
"265","A","B","AB","A","AB","A","BC","C","B","BC","C","A","A","AB","AB","LowRisk"
"8","A","B","AB","AB","AB","A","AB","B","AB","A","AB","AB","BC","AB","C","LowRisk"
"224","A","AB","AB","A","B","AB","AB","AB","A","AB","BC","A","AB","AB","AB","LowRisk"
"167","A","C","B","C","AB","A","BC","D","D","C","B","BC","C","B","D","HighRisk"
"81","A","B","A","A","A","A","AB","B","B","AB","A","B","B","A","B","LowRisk"
"183","A","B","B","AB","B","A","AB","B","BC","A","AB","AB","AB","A","AB","LowRisk"
"5","A","AB","A","AB","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"3","A","C","BC","B","B","B","AB","C","C","D","AB","C","C","BC","D","HighRisk"
"209","A","B","A","A","AB","A","A","C","C","BC","C","A","AB","AB","AB","LowRisk"
"20","A","AB","B","A","BC","A","AB","A","AB","AB","A","B","BC","B","B","LowRisk"
"51","A","A","A","B","AB","A","AB","A","AB","B","A","AB","B","AB","A","LowRisk"
"43","A","A","A","A","B","A","B","A","A","A","A","AB","A","A","A","LowRisk"
"245","A","AB","AB","A","AB","A","AB","AB","B","B","B","A","AB","AB","AB","LowRisk"
"247","A","BC","BC","A","B","B","B","C","D","C","D","AB","A","B","A","HighRisk"
"97","A","C","B","B","B","A","AB","C","C","AB","AB","B","C","B","C","LowRisk"
"72","A","BC","A","B","A","A","A","AB","A","B","A","AB","AB","AB","A","LowRisk"
"6","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","HighRisk"
