"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"44","A","AB","A","B","AB","B","A","AB","A","AB","AB","B","B","A","A","LowRisk"
"62","B","C","BC","B","C","A","BC","D","D","C","B","C","D","BC","D","HighRisk"
"163","A","AB","A","A","A","A","A","A","A","A","A","A","AB","A","A","LowRisk"
"216","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"127","A","AB","A","A","A","A","A","A","AB","AB","A","A","BC","A","B","LowRisk"
"222","A","A","AB","A","BC","AB","A","B","BC","B","BC","A","B","AB","A","LowRisk"
"137","A","A","A","A","A","A","A","A","AB","AB","A","AB","AB","A","A","LowRisk"
"134","A","C","C","A","B","A","BC","C","D","C","B","AB","BC","A","D","LowRisk"
"65","A","AB","A","A","A","A","A","A","A","A","A","A","AB","A","A","LowRisk"
"125","A","C","A","AB","B","A","B","A","C","AB","AB","A","BC","A","D","HighRisk"
"279","A","C","AB","A","AB","A","C","BC","C","C","D","AB","B","AB","BC","HighRisk"
"60","A","AB","AB","A","BC","A","AB","A","AB","A","AB","A","C","A","AB","LowRisk"
"96","A","AB","A","A","AB","B","A","A","A","A","AB","A","B","A","A","LowRisk"
"281","B","C","B","A","AB","AB","B","C","BC","BC","C","A","AB","AB","AB","LowRisk"
"107","A","C","B","C","AB","A","A","B","B","BC","A","B","AB","AB","BC","LowRisk"
"258","A","BC","B","B","AB","B","BC","C","D","BC","D","B","A","A","B","HighRisk"
"194","A","AB","B","A","AB","A","AB","A","B","AB","AB","A","B","AB","AB","LowRisk"
"241","A","B","AB","A","AB","BC","BC","C","C","BC","BC","AB","AB","AB","AB","LowRisk"
"250","A","C","A","A","AB","C","B","C","C","C","D","AB","B","A","B","HighRisk"
"225","A","BC","B","A","AB","AB","B","C","BC","BC","D","A","AB","AB","B","LowRisk"
"40","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","HighRisk"
"192","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"15","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","LowRisk"
"138","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
"143","A","B","AB","A","AB","A","A","AB","B","BC","B","A","B","A","AB","LowRisk"
"235","A","C","C","B","BC","B","BC","C","D","D","D","AB","AB","AB","D","HighRisk"
"141","A","C","BC","A","B","A","AB","D","D","D","B","B","D","AB","D","HighRisk"
"200","A","C","BC","A","B","A","B","BC","D","E","AB","AB","D","C","C","HighRisk"
"162","A","AB","A","A","AB","A","A","A","B","A","AB","A","BC","AB","A","LowRisk"
