AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,AB,B,AB,AB,A,AB,A,BC,A,A,A,B,AB,A,LowRisk
A,A,A,A,A,A,A,AB,A,A,B,A,A,A,A,LowRisk
AB,B,A,A,AB,A,AB,A,B,A,AB,A,B,A,B,LowRisk
A,C,C,BC,B,B,AB,B,BC,B,A,B,D,BC,BC,HighRisk
A,B,AB,A,AB,AB,B,B,BC,B,C,A,B,AB,B,HighRisk
A,BC,A,B,B,AB,BC,C,D,BC,D,A,AB,AB,BC,HighRisk
A,C,B,C,AB,A,BC,D,D,C,B,BC,C,B,D,HighRisk
A,D,BC,B,B,A,BC,C,D,C,D,A,B,AB,BC,HighRisk
A,B,A,AB,AB,A,A,BC,B,A,AB,AB,BC,AB,BC,LowRisk
A,C,A,AB,B,A,B,A,C,AB,AB,A,BC,A,D,HighRisk
A,C,A,BC,B,A,AB,B,C,B,AB,BC,C,B,C,HighRisk
A,C,B,B,B,A,B,AB,D,C,B,AB,D,B,C,HighRisk
A,C,AB,C,AB,A,AB,BC,C,C,A,B,D,B,D,HighRisk
A,BC,BC,A,B,B,B,C,D,C,D,AB,A,B,A,HighRisk
AB,AB,A,A,BC,A,AB,A,AB,A,AB,AB,BC,BC,A,LowRisk
A,AB,A,A,B,A,A,A,AB,A,B,A,B,A,AB,LowRisk
A,BC,A,B,B,AB,BC,C,D,BC,D,A,AB,AB,BC,HighRisk
A,C,B,A,A,A,AB,C,D,D,AB,B,C,AB,D,HighRisk
A,BC,A,B,B,AB,BC,C,D,BC,D,A,AB,AB,BC,HighRisk
A,B,A,B,AB,B,AB,AB,A,A,A,A,B,AB,B,LowRisk
A,BC,AB,A,AB,A,A,B,AB,AB,AB,A,B,A,C,LowRisk
A,B,A,A,A,A,AB,B,B,AB,A,B,B,A,B,LowRisk
A,AB,A,B,B,C,AB,C,AB,BC,BC,B,B,A,BC,HighRisk
A,BC,B,A,B,B,B,C,D,C,D,B,A,AB,B,HighRisk
A,BC,A,A,B,B,BC,C,C,BC,C,AB,BC,A,B,HighRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,C,AB,B,AB,A,A,C,D,BC,AB,AB,C,A,D,HighRisk
A,B,A,A,A,A,A,BC,AB,A,A,AB,BC,AB,BC,LowRisk
A,D,C,BC,C,A,BC,BC,D,C,B,B,C,BC,D,HighRisk
A,C,B,C,AB,A,A,B,B,BC,A,B,AB,AB,BC,LowRisk
A,D,C,D,B,B,C,D,D,C,AB,B,E,B,D,HighRisk
A,BC,AB,AB,AB,A,B,B,AB,A,A,A,B,AB,BC,HighRisk
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
AB,AB,B,AB,B,A,B,A,B,A,A,A,AB,A,A,LowRisk
A,C,C,A,AB,A,BC,BC,D,BC,D,AB,A,AB,C,HighRisk
A,AB,AB,B,A,A,A,B,A,A,B,A,A,A,A,LowRisk
AB,AB,A,A,AB,B,B,A,A,A,A,A,A,A,A,LowRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,C,C,A,AB,A,BC,BC,D,BC,D,AB,A,AB,C,HighRisk
