"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"322","A","C","B","A","B","A","AB","BC","D","C","B","BC","BC","AB","C","LowRisk"
"51","A","C","AB","A","B","A","BC","C","D","D","B","A","C","A","D","HighRisk"
"104","A","AB","A","B","AB","A","A","B","A","A","A","A","BC","A","BC","HighRisk"
"233","A","AB","A","A","BC","A","A","A","AB","A","B","AB","B","A","A","LowRisk"
"282","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
"351","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"291","A","B","B","B","B","A","AB","B","BC","AB","AB","A","BC","AB","BC","LowRisk"
"86","A","C","A","A","AB","C","B","C","C","C","D","AB","B","A","B","HighRisk"
"344","A","AB","AB","B","A","A","AB","B","B","AB","BC","A","A","B","AB","LowRisk"
"121","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"166","A","B","AB","B","A","A","AB","AB","B","AB","A","A","B","B","BC","HighRisk"
"350","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"235","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"237","A","B","BC","AB","BC","A","B","A","BC","AB","AB","BC","BC","A","A","LowRisk"
"286","A","AB","B","AB","B","A","B","A","D","A","AB","AB","B","AB","A","LowRisk"
"264","A","B","A","B","AB","A","A","A","A","A","A","AB","B","A","AB","LowRisk"
"336","A","B","BC","B","B","A","A","BC","C","BC","BC","A","A","AB","AB","LowRisk"
"163","A","D","B","A","A","A","C","C","BC","BC","D","AB","A","AB","BC","HighRisk"
"349","A","B","AB","A","AB","B","B","B","D","BC","BC","A","AB","B","B","LowRisk"
"305","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"80","A","C","C","B","BC","B","BC","C","D","D","D","AB","AB","AB","D","HighRisk"
"390","A","BC","AB","A","AB","B","AB","C","BC","BC","D","AB","A","AB","A","LowRisk"
"186","A","C","A","AB","B","A","B","A","C","AB","AB","A","BC","A","D","HighRisk"
"123","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","HighRisk"
"241","A","BC","B","B","BC","A","AB","AB","C","AB","AB","AB","C","AB","AB","LowRisk"
"66","A","BC","A","B","A","A","AB","BC","D","B","AB","A","C","A","D","HighRisk"
"148","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"55","A","C","B","BC","B","A","B","BC","D","B","A","AB","BC","BC","C","HighRisk"
"382","A","A","A","A","B","A","B","AB","B","BC","A","A","A","A","AB","LowRisk"
"326","A","AB","AB","A","B","A","AB","B","D","BC","AB","AB","C","B","D","LowRisk"
"309","A","AB","B","A","A","A","AB","B","BC","BC","BC","B","C","A","BC","LowRisk"
"115","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"185","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"182","A","B","AB","A","AB","AB","B","B","BC","B","C","A","B","AB","B","HighRisk"
"366","A","B","AB","A","B","B","AB","B","B","BC","B","A","A","AB","B","LowRisk"
"64","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","HighRisk"
"297","A","B","AB","AB","B","A","AB","B","B","A","AB","A","BC","AB","C","LowRisk"
"206","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","LowRisk"
"184","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
