"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"120","A","AB","A","A","A","A","AB","A","A","A","A","A","A","A","A","LowRisk"
"50","A","AB","BC","B","BC","A","BC","B","C","C","B","A","C","B","BC","HighRisk"
"166","A","AB","AB","B","BC","A","B","AB","AB","A","AB","A","BC","AB","AB","LowRisk"
"32","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"110","A","B","A","AB","B","A","A","B","A","A","AB","A","BC","AB","B","LowRisk"
"138","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"180","A","AB","A","A","A","A","A","A","A","A","AB","A","A","A","A","LowRisk"
"82","A","B","C","B","AB","AB","D","C","D","C","D","AB","AB","AB","D","HighRisk"
"83","A","BC","A","B","B","AB","BC","C","D","BC","D","A","AB","AB","BC","HighRisk"
"55","A","C","B","BC","B","A","B","BC","D","B","A","AB","BC","BC","C","HighRisk"
"133","B","BC","A","A","B","A","A","BC","AB","B","A","A","BC","A","C","LowRisk"
"135","B","BC","A","A","AB","A","AB","AB","A","A","A","A","AB","A","AB","LowRisk"
"81","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","HighRisk"
"26","A","AB","AB","A","A","A","AB","BC","AB","C","AB","B","BC","AB","B","HighRisk"
"6","A","C","C","D","B","A","D","E","D","D","A","C","D","C","E","HighRisk"
"100","A","AB","A","AB","B","A","A","A","A","A","A","A","A","A","A","LowRisk"
"60","A","BC","AB","AB","AB","A","B","B","AB","A","A","A","B","AB","BC","HighRisk"
"174","AB","C","A","D","AB","A","AB","B","B","BC","A","B","C","A","C","LowRisk"
"44","A","C","AB","A","AB","B","AB","C","BC","C","AB","AB","BC","AB","C","HighRisk"
"76","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
