"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"188","A","C","B","A","A","A","AB","C","D","D","AB","B","C","AB","D","MediumRisk"
"228","A","A","AB","A","B","A","BC","AB","C","B","B","A","A","A","A","LowRisk"
"71","A","D","AB","A","BC","A","B","E","D","D","A","B","D","BC","D","HighRisk"
"113","A","B","A","AB","AB","A","A","BC","B","A","AB","AB","BC","AB","BC","LowRisk"
"286","A","A","A","B","A","A","AB","AB","AB","AB","A","A","A","A","A","LowRisk"
"53","A","BC","A","B","B","B","AB","BC","BC","AB","A","B","B","AB","BC","LowRisk"
"198","A","B","A","AB","AB","B","AB","B","B","AB","AB","A","BC","A","C","MediumRisk"
"63","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","MediumRisk"
"244","A","B","AB","A","BC","A","AB","BC","BC","BC","C","A","A","A","BC","LowRisk"
"236","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","MediumRisk"
"16","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"214","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","MediumRisk"
"186","A","AB","A","A","A","A","A","A","A","A","A","A","B","A","AB","LowRisk"
"101","AB","AB","A","A","AB","A","A","A","A","A","A","AB","AB","A","A","LowRisk"
"145","A","C","AB","A","B","A","BC","C","D","D","B","A","C","A","D","MediumRisk"
"109","A","B","A","AB","AB","B","A","AB","A","A","AB","A","BC","A","B","LowRisk"
"118","A","B","AB","B","AB","A","AB","A","C","A","B","A","B","BC","B","MediumRisk"
"217","A","AB","AB","A","A","AB","BC","C","B","AB","B","A","A","AB","A","LowRisk"
"219","A","B","BC","B","B","A","A","BC","C","BC","BC","A","A","AB","AB","LowRisk"
"284","A","AB","AB","A","AB","A","B","AB","C","AB","BC","AB","AB","A","AB","LowRisk"
"123","A","C","C","A","AB","A","AB","B","C","AB","A","A","BC","B","BC","MediumRisk"
"287","A","A","AB","B","AB","A","BC","AB","BC","BC","AB","A","A","AB","AB","LowRisk"
"68","A","AB","A","A","B","A","AB","A","AB","A","A","A","AB","A","A","LowRisk"
"218","A","BC","B","A","B","B","B","C","D","C","D","B","A","AB","B","MediumRisk"
"223","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"2","B","BC","B","B","B","A","AB","B","BC","B","A","AB","D","A","C","MediumRisk"
"206","A","BC","AB","A","B","D","C","C","D","BC","BC","A","AB","AB","AB","LowRisk"
"126","A","C","AB","A","AB","A","A","C","D","C","B","B","BC","AB","BC","HighRisk"
"248","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"260","A","A","A","B","AB","A","AB","AB","A","A","A","A","A","A","A","LowRisk"
