AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
A,C,A,A,AB,C,B,C,C,C,D,AB,B,A,B,MediumRisk
A,BC,AB,A,AB,A,A,AB,B,A,AB,B,BC,AB,B,LowRisk
A,BC,B,A,B,A,C,B,D,BC,C,AB,AB,AB,C,MediumRisk
A,C,AB,B,AB,A,B,BC,BC,B,A,AB,C,BC,C,MediumRisk
A,D,AB,A,BC,A,B,E,D,D,A,B,D,BC,D,HighRisk
A,C,B,B,B,A,AB,BC,B,A,AB,A,BC,B,BC,LowRisk
A,C,C,D,B,A,D,E,D,D,A,C,D,C,E,MediumRisk
A,B,A,AB,AB,A,AB,AB,D,AB,AB,AB,BC,A,B,LowRisk
A,B,A,B,AB,A,A,A,A,A,A,AB,B,A,AB,LowRisk
A,D,C,D,B,B,C,D,D,C,AB,B,E,B,D,MediumRisk
A,AB,B,AB,AB,A,AB,A,BC,A,A,A,B,AB,A,LowRisk
A,B,BC,B,A,A,A,B,BC,AB,BC,A,AB,AB,AB,LowRisk
A,B,A,AB,AB,A,A,AB,BC,A,AB,AB,B,A,B,LowRisk
A,C,B,A,AB,B,C,C,D,C,D,A,B,AB,D,HighRisk
A,C,BC,A,B,A,AB,D,D,D,B,B,D,AB,D,MediumRisk
A,C,B,B,B,A,B,C,C,B,B,B,D,B,D,HighRisk
A,C,BC,A,B,A,B,BC,D,E,AB,AB,D,C,C,HighRisk
A,C,BC,B,AB,A,B,C,D,BC,AB,BC,C,B,C,HighRisk
A,C,BC,A,B,A,AB,D,D,D,B,B,D,AB,D,MediumRisk
A,AB,A,B,B,C,AB,C,AB,BC,BC,B,B,A,BC,MediumRisk
A,C,A,A,A,A,A,BC,BC,C,A,AB,C,AB,BC,MediumRisk
A,BC,A,A,A,A,A,AB,AB,B,C,A,B,A,B,LowRisk
A,BC,A,B,B,AB,BC,C,D,BC,D,A,AB,AB,BC,MediumRisk
A,B,AB,A,AB,A,BC,C,B,BC,C,A,A,AB,AB,LowRisk
A,C,B,B,B,B,B,B,C,AB,AB,B,C,B,C,MediumRisk
A,AB,AB,A,AB,A,AB,A,BC,AB,AB,A,B,A,BC,LowRisk
A,BC,AB,A,AB,AB,C,C,C,BC,D,A,AB,AB,AB,LowRisk
A,C,B,A,AB,B,C,C,D,C,D,A,B,AB,D,HighRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,AB,B,HighRisk
A,B,AB,B,A,A,AB,AB,B,AB,A,A,B,B,BC,MediumRisk
A,C,AB,B,AB,A,AB,C,C,C,A,B,D,AB,C,MediumRisk
A,A,A,A,B,A,B,AB,B,BC,A,A,A,A,AB,LowRisk
A,BC,AB,AB,AB,A,B,B,AB,A,A,A,B,AB,BC,MediumRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,AB,B,HighRisk
A,AB,AB,B,BC,A,B,AB,AB,A,AB,A,BC,AB,AB,LowRisk
A,C,AB,B,AB,A,B,BC,BC,B,A,AB,C,BC,C,MediumRisk
A,D,C,BC,C,A,BC,BC,D,C,B,B,C,BC,D,HighRisk
A,AB,BC,B,BC,A,BC,B,C,C,B,A,C,B,BC,HighRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,AB,B,HighRisk
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
A,C,A,A,B,B,AB,B,B,A,AB,A,C,A,B,LowRisk
A,AB,A,A,AB,A,A,B,A,A,A,A,BC,A,AB,LowRisk
A,B,AB,B,AB,A,B,AB,B,A,AB,AB,BC,AB,A,LowRisk
A,C,BC,A,B,A,B,BC,D,E,AB,AB,D,C,C,HighRisk
A,D,BC,BC,BC,A,BC,C,D,D,B,B,C,B,D,HighRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,BC,AB,A,AB,A,B,AB,B,BC,A,AB,BC,AB,AB,LowRisk
A,C,BC,B,B,B,AB,C,C,D,AB,C,C,BC,D,HighRisk
A,B,B,B,A,A,C,BC,C,B,C,A,A,A,A,MediumRisk
A,BC,AB,A,AB,A,B,BC,BC,BC,AB,AB,C,AB,D,HighRisk
A,B,BC,AB,BC,A,B,A,BC,AB,AB,BC,BC,A,A,LowRisk
A,C,A,AB,B,A,B,A,C,AB,AB,A,BC,A,D,MediumRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,AB,B,HighRisk
AB,A,B,AB,AB,A,B,A,BC,AB,BC,AB,AB,A,A,LowRisk
A,C,AB,A,BC,E,B,D,C,C,AB,B,C,B,D,HighRisk
A,AB,A,B,B,A,B,B,C,C,C,A,A,AB,B,HighRisk
A,C,AB,B,AB,A,AB,BC,D,AB,B,B,C,AB,C,MediumRisk
A,D,AB,A,AB,B,C,C,C,BC,BC,A,AB,AB,B,MediumRisk
