"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"95","A","B","B","A","B","A","AB","BC","BC","BC","BC","A","AB","B","A","HighRisk"
"257","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","MediumRisk"
"133","A","AB","AB","B","BC","A","B","AB","AB","A","AB","A","BC","AB","AB","LowRisk"
"287","A","B","A","A","A","A","AB","A","A","A","AB","A","BC","A","B","MediumRisk"
"304","A","AB","AB","B","A","A","AB","B","B","AB","BC","A","A","B","AB","MediumRisk"
"15","A","B","A","B","AB","A","B","B","B","C","AB","A","BC","BC","B","HighRisk"
"170","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"286","A","B","AB","A","AB","A","A","AB","AB","AB","AB","B","AB","A","AB","MediumRisk"
"176","A","BC","A","A","AB","A","AB","BC","AB","B","BC","A","A","A","A","LowRisk"
"146","A","AB","A","A","B","A","A","A","AB","A","B","A","B","A","AB","LowRisk"
"323","A","B","C","B","AB","AB","D","AB","BC","B","BC","AB","A","AB","B","MediumRisk"
"144","A","AB","AB","A","A","A","A","A","AB","A","A","A","AB","A","A","LowRisk"
"214","A","A","A","A","AB","A","B","AB","AB","A","AB","A","A","AB","B","LowRisk"
"180","A","BC","A","A","A","A","A","AB","AB","B","C","A","B","A","B","LowRisk"
"33","A","C","AB","B","AB","A","B","BC","BC","B","A","AB","C","BC","C","HighRisk"
"281","A","AB","AB","A","A","A","A","AB","A","A","A","A","AB","A","B","MediumRisk"
"77","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"14","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"102","A","BC","A","A","B","B","BC","C","C","BC","C","AB","BC","A","B","HighRisk"
"294","A","B","AB","A","A","A","B","B","B","B","BC","A","A","A","BC","MediumRisk"
"274","A","AB","AB","A","AB","A","AB","B","BC","A","B","A","B","AB","B","MediumRisk"
"212","A","A","A","A","A","A","AB","AB","A","A","BC","A","A","A","A","LowRisk"
"196","A","AB","AB","A","AB","A","AB","A","BC","AB","AB","A","B","A","BC","LowRisk"
"303","A","BC","B","A","AB","AB","B","C","BC","BC","D","A","AB","AB","B","MediumRisk"
"199","A","AB","A","AB","A","A","A","AB","A","A","A","A","B","A","A","LowRisk"
"315","A","A","AB","A","AB","A","AB","B","C","BC","B","A","A","AB","AB","MediumRisk"
"164","A","AB","B","A","AB","A","AB","A","B","AB","AB","A","B","AB","AB","LowRisk"
"179","A","B","AB","A","AB","A","B","BC","BC","BC","C","A","A","AB","AB","LowRisk"
"87","A","C","A","A","AB","C","B","C","C","C","D","AB","B","A","B","HighRisk"
"44","A","D","BC","A","B","A","AB","B","D","BC","AB","AB","C","B","BC","HighRisk"
"324","A","AB","AB","A","AB","A","B","AB","C","AB","BC","AB","AB","A","AB","MediumRisk"
"268","AB","C","A","D","AB","A","AB","B","B","BC","A","B","C","A","C","MediumRisk"
"204","A","AB","A","A","AB","A","A","AB","AB","A","AB","A","B","AB","AB","LowRisk"
