"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"109","A","AB","AB","A","A","A","AB","BC","AB","C","AB","B","BC","AB","B","HighRisk"
"60","A","C","B","C","AB","A","BC","D","D","C","B","BC","C","B","D","HighRisk"
"158","A","B","A","A","AB","A","AB","A","AB","A","AB","A","B","A","B","LowRisk"
"52","A","C","AB","A","B","A","BC","C","D","D","B","A","C","A","D","HighRisk"
"145","A","B","AB","A","AB","A","A","AB","B","BC","B","A","B","A","AB","LowRisk"
"213","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"168","A","A","AB","B","A","A","B","A","AB","A","B","A","A","A","A","LowRisk"
"18","A","C","AB","C","AB","A","AB","BC","C","C","A","B","D","B","D","HighRisk"
"233","A","AB","A","A","AB","A","AB","A","A","AB","AB","B","B","A","B","MediumRisk"
"314","A","B","AB","A","AB","A","BC","C","B","BC","C","A","A","AB","AB","MediumRisk"
"71","A","D","BC","BC","BC","A","BC","C","D","D","B","B","C","B","D","HighRisk"
"48","A","B","AB","AB","AB","A","A","B","BC","A","AB","A","BC","A","D","HighRisk"
"126","AB","AB","A","A","AB","B","B","A","A","A","A","A","A","A","A","LowRisk"
"322","B","C","B","A","AB","AB","B","C","BC","BC","C","A","AB","AB","AB","MediumRisk"
"149","A","AB","AB","A","A","A","A","A","AB","A","A","A","B","A","A","LowRisk"
"266","A","BC","AB","AB","AB","A","A","B","BC","AB","A","A","BC","A","B","MediumRisk"
"97","A","C","AB","A","AB","A","C","BC","C","C","D","AB","B","AB","BC","HighRisk"
"218","A","BC","A","A","A","A","A","AB","B","A","AB","A","B","A","B","LowRisk"
"78","A","AB","A","B","B","A","B","B","C","C","C","A","A","AB","B","HighRisk"
"284","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","MediumRisk"
"130","A","AB","A","A","AB","B","A","A","A","A","AB","A","B","A","A","LowRisk"
"129","AB","B","A","AB","B","A","A","B","AB","A","A","A","B","A","B","LowRisk"
"17","A","C","B","AB","AB","A","B","AB","C","C","AB","A","C","B","BC","HighRisk"
"225","A","AB","A","A","AB","A","B","A","AB","A","A","A","B","A","B","MediumRisk"
"112","A","B","A","A","B","B","AB","AB","A","A","A","AB","B","A","B","LowRisk"
"316","A","BC","A","A","A","A","B","C","BC","BC","C","A","A","AB","A","MediumRisk"
"292","A","B","A","AB","AB","A","A","AB","BC","A","AB","AB","B","A","B","MediumRisk"
"12","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","HighRisk"
"156","A","A","A","A","AB","A","AB","A","B","AB","AB","AB","B","A","B","LowRisk"
"235","A","AB","A","B","AB","B","A","AB","A","AB","AB","B","B","A","A","MediumRisk"
"82","A","AB","A","B","B","C","AB","C","AB","BC","BC","B","B","A","BC","HighRisk"
"290","A","C","B","A","B","A","AB","BC","D","C","B","BC","BC","AB","C","MediumRisk"
