"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"73","A","C","BC","B","BC","A","BC","C","D","C","AB","B","BC","AB","D","HighRisk"
"198","A","AB","A","AB","AB","A","AB","A","A","A","AB","A","BC","AB","A","MediumRisk"
"103","A","BC","A","B","A","A","A","A","BC","A","A","B","C","A","BC","LowRisk"
"220","A","BC","AB","A","AB","A","A","B","AB","AB","AB","A","B","A","C","MediumRisk"
"234","A","B","A","A","B","A","A","B","B","A","AB","A","BC","AB","BC","MediumRisk"
"12","A","C","C","BC","B","B","AB","B","BC","B","A","B","D","BC","BC","HighRisk"
"130","A","AB","B","A","A","A","A","A","BC","A","A","A","AB","B","A","LowRisk"
"219","A","B","AB","AB","AB","A","AB","B","C","A","AB","AB","C","A","BC","MediumRisk"
"135","A","B","A","A","A","A","A","BC","BC","A","AB","A","B","A","A","LowRisk"
"111","A","B","A","AB","AB","A","A","BC","B","A","AB","AB","BC","AB","BC","LowRisk"
"232","A","AB","B","A","A","A","AB","B","BC","BC","BC","B","C","A","BC","MediumRisk"
"110","A","B","AB","A","B","A","AB","B","BC","A","AB","A","B","A","A","LowRisk"
"163","A","AB","AB","B","A","A","A","B","A","A","B","A","A","A","A","LowRisk"
"137","A","AB","A","A","A","A","A","A","A","A","A","A","B","A","AB","LowRisk"
"25","A","C","A","BC","B","A","AB","B","C","B","AB","BC","C","B","C","HighRisk"
"214","A","B","A","A","BC","B","AB","AB","A","A","A","A","B","AB","A","MediumRisk"
"59","A","C","BC","B","AB","A","B","C","D","BC","AB","BC","C","B","C","HighRisk"
"10","A","C","B","B","B","B","B","B","C","AB","AB","B","C","B","C","HighRisk"
"77","A","D","BC","A","AB","AB","B","BC","C","C","D","A","BC","AB","C","HighRisk"
"223","A","AB","A","A","A","A","A","A","AB","AB","A","A","BC","A","B","MediumRisk"
"207","A","B","BC","BC","AB","A","B","B","BC","B","A","A","BC","BC","B","MediumRisk"
"161","A","A","A","A","A","A","A","AB","A","AB","AB","A","A","A","A","LowRisk"
"148","A","B","A","A","B","A","B","BC","C","A","B","A","A","AB","A","LowRisk"
"228","A","B","AB","AB","B","A","AB","B","B","A","AB","A","BC","AB","C","MediumRisk"
"150","A","A","A","A","AB","AB","A","A","B","AB","B","A","A","A","AB","LowRisk"
"231","A","AB","AB","A","A","A","A","AB","A","A","A","A","AB","A","B","MediumRisk"
