"","AGB100","FIS100","IPB107","IPB108","IPB111","IPB112","KPM130","MAT100","BIO100","EKO100","IPB100","IPB106","KIM101","KOM201","MAT103","CLASS"
"36","A","C","AB","BC","B","A","AB","C","C","A","AB","AB","BC","BC","BC","HighRisk"
"187","A","C","A","A","B","B","AB","B","B","A","AB","A","C","A","B","MediumRisk"
"243","A","BC","AB","A","B","D","C","C","D","BC","BC","A","AB","AB","AB","MediumRisk"
"176","A","B","A","A","A","A","A","BC","AB","A","A","AB","BC","AB","BC","MediumRisk"
"14","A","B","B","B","B","B","B","A","A","A","A","A","A","A","A","HighRisk"
"136","A","B","B","AB","B","A","AB","B","BC","A","AB","AB","AB","A","AB","LowRisk"
"182","A","AB","A","A","B","A","A","A","A","AB","A","AB","C","A","B","MediumRisk"
"145","A","A","A","B","A","A","A","AB","A","A","A","A","A","A","A","LowRisk"
"5","A","C","B","BC","AB","A","BC","C","D","D","A","AB","D","BC","D","HighRisk"
"7","A","AB","AB","AB","AB","A","B","AB","B","A","A","AB","C","D","C","HighRisk"
"4","A","BC","BC","BC","AB","B","A","BC","C","C","AB","C","C","BC","D","HighRisk"
"58","A","D","C","BC","C","A","BC","BC","D","C","B","B","C","BC","D","HighRisk"
"3","A","C","BC","B","B","B","AB","C","C","D","AB","C","C","BC","D","HighRisk"
"250","A","B","AB","A","AB","A","A","BC","D","C","BC","A","AB","A","AB","MediumRisk"
"24","A","C","AB","B","AB","A","AB","C","C","C","A","B","D","AB","C","HighRisk"
"167","A","AB","A","B","B","A","B","AB","B","AB","BC","A","AB","A","AB","LowRisk"
"222","A","B","A","A","A","A","AB","AB","AB","A","AB","A","B","A","BC","MediumRisk"
"218","AB","C","A","D","AB","A","AB","B","B","BC","A","B","C","A","C","MediumRisk"
"56","A","C","B","BC","B","A","B","BC","D","B","A","AB","BC","BC","C","HighRisk"
"102","A","AB","A","A","BC","A","AB","AB","AB","AB","A","AB","BC","A","B","LowRisk"
"99","A","AB","A","A","AB","A","AB","A","A","A","AB","A","B","A","A","LowRisk"
"66","A","C","B","B","B","A","BC","BC","AB","BC","AB","B","C","B","BC","HighRisk"
"16","A","D","C","BC","BC","B","D","D","D","C","B","C","D","C","D","HighRisk"
"127","A","AB","A","AB","A","A","A","AB","A","A","A","A","B","A","A","LowRisk"
"179","A","AB","A","B","AB","A","A","AB","A","A","A","A","AB","A","A","MediumRisk"
"119","A","AB","AB","A","A","A","A","A","AB","A","A","A","AB","A","A","LowRisk"
