AGB100,FIS100,IPB107,IPB108,IPB111,IPB112,KPM130,MAT100,BIO100,EKO100,IPB100,IPB106,KIM101,KOM201,MAT103,CLASS
A,C,BC,B,BC,A,BC,C,D,C,AB,B,BC,AB,D,HighRisk
A,AB,A,AB,AB,A,AB,A,A,A,AB,A,BC,AB,A,MediumRisk
A,BC,A,B,A,A,A,A,BC,A,A,B,C,A,BC,LowRisk
A,BC,AB,A,AB,A,A,B,AB,AB,AB,A,B,A,C,MediumRisk
A,B,A,A,B,A,A,B,B,A,AB,A,BC,AB,BC,MediumRisk
A,C,C,BC,B,B,AB,B,BC,B,A,B,D,BC,BC,HighRisk
A,AB,B,A,A,A,A,A,BC,A,A,A,AB,B,A,LowRisk
A,B,AB,AB,AB,A,AB,B,C,A,AB,AB,C,A,BC,MediumRisk
A,B,A,A,A,A,A,BC,BC,A,AB,A,B,A,A,LowRisk
A,B,A,AB,AB,A,A,BC,B,A,AB,AB,BC,AB,BC,LowRisk
A,AB,B,A,A,A,AB,B,BC,BC,BC,B,C,A,BC,MediumRisk
A,B,AB,A,B,A,AB,B,BC,A,AB,A,B,A,A,LowRisk
A,AB,AB,B,A,A,A,B,A,A,B,A,A,A,A,LowRisk
A,AB,A,A,A,A,A,A,A,A,A,A,B,A,AB,LowRisk
A,C,A,BC,B,A,AB,B,C,B,AB,BC,C,B,C,HighRisk
A,B,A,A,BC,B,AB,AB,A,A,A,A,B,AB,A,MediumRisk
A,C,BC,B,AB,A,B,C,D,BC,AB,BC,C,B,C,HighRisk
A,C,B,B,B,B,B,B,C,AB,AB,B,C,B,C,HighRisk
A,D,BC,A,AB,AB,B,BC,C,C,D,A,BC,AB,C,HighRisk
A,AB,A,A,A,A,A,A,AB,AB,A,A,BC,A,B,MediumRisk
A,B,BC,BC,AB,A,B,B,BC,B,A,A,BC,BC,B,MediumRisk
A,A,A,A,A,A,A,AB,A,AB,AB,A,A,A,A,LowRisk
A,B,A,A,B,A,B,BC,C,A,B,A,A,AB,A,LowRisk
A,B,AB,AB,B,A,AB,B,B,A,AB,A,BC,AB,C,MediumRisk
A,A,A,A,AB,AB,A,A,B,AB,B,A,A,A,AB,LowRisk
A,AB,AB,A,A,A,A,AB,A,A,A,A,AB,A,B,MediumRisk
